speaker,timestamp,End Time,words,tags
,,,,
Doug Exton,[00:00:00:00],00:00:24:19,"And thank you so much for joining us for tonight's Connected Conversation. A program conducted by the Idaho Humanities Council. If you're not familiar with our organization, I encourage you to check out our website, Idaho Humanities, Dawg. I'd like to remind amusement any questions using the Q&A feature located at the bottom of the screen. I cannot guarantee that any questions answered in the chat will be answered.",
Doug Exton,[00:00:24:21],00:00:33:06,"With me tonight is Doctor Erik Hadley from Boise State University, and it's an honor to have you with us tonight. I turn it over to you.",
Dr. Erik Hadley,[00:00:33:08],00:01:01:02,"Thank you. Doug. It's a pleasure to be here. I do have a present--Google slide presentation that I can. You gave me sharing rights. I believe. Well, thank you, Doug, and thank you very many's council for inviting me. My name is Doctor Erik Hadley. I teach a variety of classes and history department of Boise State University, including classes, in European history, which is my specialty.",
Dr. Erik Hadley,[00:01:01:12],00:01:33:06,"To be honest, but one of my PhD fields was in, a new field in the late 90s, early 2000s called the Atlantic World, which we moved away from national histories and look more regionally, and have continents and continent wide histories and environmental histories and, and the role of indigenous peoples, and particularly the role of agency and power of indigenous peoples, in, in it over long periods of time, 4 or 500 years.",indigenous
Dr. Erik Hadley,[00:01:33:10],00:02:20:11,"And often starting with that, we would look before, you know, we have these key dates like Columbus sailing, 1492. And then somehow the narrative starts there on up in the Pacific in Hawaii, Captain Cook. And in 1788. And so the goal there was to move the narrative onto, indigenous ground and start with that. And then, yes, we we have this, this larger story of, eventually Western European settler colonial intervention, but to not grant power to that exclusively and say and move this notion of the age of discovery and put quotations around it and say, maybe an age of encounter is a better term.",literature;indigenous;migration;history;education
Dr. Erik Hadley,[00:02:21:09],00:02:46:10,"Anyway, I, I've taught at a for a number of years and I got really interested in, in Pacific world and, Pacific Islander histories, particularly in Hawaii as well. And, so this is a challenge for me. This is my newest field, both, teaching at Boise State and as, in, emerging research interest for myself, which is when I teach a class called The Pacific World, at Boise State.",boise;education
Dr. Erik Hadley,[00:02:46:10],00:03:18:08,"And it centers more or less on Hawaii. As, as, a micro history of, of it of an indigenous Pacific people with a very, particular special history and also, how their history tells us stories, a wider narrative, a wider kind of meta narrative of, of Pacific World. Identity. So that's where this started. And this talk is kind of the, I guess, the confluence of both of these, both Atlantic and Pacific world.",indigenous;literature
Dr. Erik Hadley,[00:03:20:01],00:03:59:19,"I wanted to talk about the power of indigenous peoples, in resisting the settler colonial narrative, and hegemony. And, I do that both kind of. And I'm as guilty, I guess, even though the things that Atlantic and Pacific, I didn't put into a world theory perspective and, I kept stumbling onto notions where I would see different indigenous groups working together for the same goal, for the same, and, and, so when I was asked if I would be interested in doing a presentation for the IJC, I thought, I want to talk about something I've never actually presented, before.",indigenous;migration;history;literature
Dr. Erik Hadley,[00:03:59:21],00:04:28:16,"So this is a new thing for me, and that is the intersections of where American Indian and, Native Hawaiian, movements over land and sovereignty in the last 50 years have met these kind of confluences, and it's not always going to be in the same direction. They're not always necessarily working to the same goals. But but, they're definitely operating in conjunction with one another and lifting each other up.",
Dr. Erik Hadley,[00:04:28:18],00:04:49:24,"And, so that's what I want to talk about. I will say at the outset, I think it's important to note I'm not Native Hawaiian, and I have no claim to speak for Native Hawaiians. I have a deep respect for, Native Hawaiian culture, but I speak as an outsider and, so yeah, let's get started.",
Dr. Erik Hadley,[00:04:50:01],00:05:16:07,"So I'm gonna start here and bring this to Idaho. This is doctor LaNada War Jack. She's a member of the shamanic tribe, out of Fort Hall in eastern Idaho. And this is a picture of her at Alcatraz in 1970. She's at Alcatraz because she was a, a group of of American Indian activists that occupied Alcatraz, the previous November and will continue to do so for another year and a half.",indigenous
