time,title,description
[0:00],Jacks fought after baseball games between logging towns,Jacks fought after baseball games between logging towns.
[6:00],Logging during the Depression; growth of blister rust,"Logging in the depression - white pine only, company pressure to do it cheap. Growth of blister rust."
[15:00],"Horses to donkeys, then back to horses; steam donkey settings","Horses to donkeys, and then back to horses as well. Steam donkey settings."
[24:00],Before railroads there were drives on the rivers and creeks; flumes and chutes; danger of speeding logs,Before the railroads there were drives on the rivers and creeks. Flumes and chutes: danger of speeding logs. Slowing down chutes. (Continued)
[30:00],Slowing logs in chutes; cleaning snow out of chute; grease caused fires; used donkeys and horses with chutes,Slowing logs in chutes. Cleaning snow out of chute in morning. Grease caused chute fires. Using donkeys and horses with chutes. Fire danger stopped use of donkeys in summer. Why chutes were used.
[39:00],Trouble wit first cats compared to horses; use of helicopters and cats now,Trouble with first cats compared to horses. Use of helicopters and cats now.
[45:00],Selective logging looked much better than clear-cutting,Selective logging looked much better than clear-cutting.
[51:00],"IWW's prevented him from getting men on train in Spokane for Potlatch, so he enlisted; need to change conditions in camps","IWW's prevented him from getting men on train in Spokane for Potlatch, so he enlisted. IWWs trailed him. Need to change conditions in camps."
[54:00],Desire to enlist in army in WWI; letters of recommendation to get into forestry unit,Desire to enlist in army in World War I. Letters of recommendation to get into forestry unit. Training before going overseas.
[1:00:00],Lack of education compared to others in troop; practical ability and their book knowledge,Lack of education compared to others in troop. His practical ability and their book knowledge.
[1:06:00],"Building cabins in army camp; location of camp; members of 20th Engineers, 36th Company","Building cabins in army camp. Location of camp. Members of 20th Engineers, 36th Company."
[1:12:00],Armistice Day and night; drinking with the major while men drank and worked hard,"Armistice Day and night. Drinking with the major. Men drank, and worked hard. His best chum was a black first lieutenant. Coming back one day late on a pass. Don't make excuses in the army. Dealing with captain after a drink. Drinking with the captain. Getting sick on wine."
[1:30:00],Baths in barber shop; Wobblies got showers in camp; washing in creek; controlling moonshine,Baths in barber shop - you had to put up with rough conditions to have a job. Wobblies got showers in camp. Washing in creek. Other Wobbly achievements. Some didn't show appreciation for improvements. Controlling moonshine by firing men who were drunk Monday morning. Wood-Em-Up-George's wit in firing men. U.S. Pelton told his boys they should log at work instead of in camp. Pelton family operation.
[1:32:00],"Family drive on Sunday, ice cream for kids, bootleg for him","Family drive on Sunday: ice cream for the kids, bootleg for him. A drink after a night on the snowplow from a deputy in the bootleg joint. He'd drink with the men in town. Advising an old friend to give up bar."
[1:33:00],Irishman Pat Malone in Duluth; two lumberjacks poured the evidence on Pat,Pat Malone was one of the Irishmen in Duluth. Two lumberjacks poured the evidence on Pat. Potlatch brass.
