time,title,description
[1:00],Eric Oiler's Barns; one old man hewed the barns and made them smooth,Eric Oiler's barns. One old man hewed the barn beams and made them smooth.
[3:00],Butcher bees for hogs; sugar cured or smoke cured pork and brine cured beef,Butcher bees for hogs. Sugar cured or smoke cured pork and brine cured beef.
[8:00],Little stamp money during the Depression; price of groceries and reusing old clothes to make new ones,"Little stamp money during the Depression, Got 6 or 7 cents a dozen for eggs and a bit more for butterfat, Ernie bought clothes the day after Christmas during the Depression. Sewed clothes over for Lois from Marie, Cut up a Sunday outfit for John one Saturday night."
[17:00],"Johnson Mercantile Store sold beautiful men's and women's clothes, furniture, hardware, and groceries","Johnson Mercantile store sold beautiful fur coats, wedding dresses and yardage in the old days. Also sold furniture, men's clothing, hardware and groceries. Another grocery and dry goods store and two theaters in Troy, Went to ""Shepherd of the Hills"" when worried about the end of the world."
[25:00],Father helped to get rocked roads and rural free delivery; put in a telephone to Eri Oiler's; horses fall in,"Father helped to get rocked roads and rural free delivery. About 1908 father put in a telephone to Eric Oiler's on barbed wire and when Eric Oiler's horse fell in the well they saved him easily, Carl Westberg's horse fell in well, Paul Rodin called Anna Westberg to ask for a kiss to see if the phone was working."
[31:00],Mrs. Joe Carlson dried fruit on roof of the house; would make a big fruit soup; midwifery,Mrs. Joe Carlson dried fruit on the roof of the house. Mrs. Carlson would make a big fruit soup thickened with tapioca when she went into midwifery. When Moody is sick with diphtheria she brought them food and made clothes to bury them in.
[37:00],Two girlfriends complained of not having sisters and only having brothers,Two girlfriends complained because they didn't have many sisters and didn't know why the doctor always brought them brothers in his valise. Learned the facts of life on your own.
[41:00],Carleton French lived in Troy and walked to Burnt Ridge school reading; told stories to the whole school; learned poems by heart; had highest grades on eighth grade exam,Carleton French lived in Troy and walked to Burnt Ridge school reading a book. Told stories that fascinated the whole school. Learned poems by heart which keened up your memory. One year the three highest grades on the eighth grade exam were from the Burnt Ridge school.
[47:00],Frank Steelsmith rough on the kids,Frank Steelsmith rough on the kids. Made to stand on tiptoe to keep nose in circle and wear dunce caps for punishment. One boy threw a brick through the window and no one would tell.
[52:00],Kitsh mad at one boy and whipped him; mother complained; June Cole and Esther Kristians and good teachers,Kitsh mad at one boy and whipped him and mother complained. Teacher spanks the boy's sister for having her dress unhooked. June Cole and Esther Kristians and good teachers.
[58:00],Parents celebrated 25th anniversary with a surprise gathering which even she didn't know about,Parents celebrated 25th anniversary with a surprise gathering which even she didn't know about.
[1:00:00],Party games and square dances; church celebrated midsummer picnic day on June 24th,"Party games and square dances. ""Old Man Tucker"", ""Skip to my Lou"", ""Carl Gustav"" and one Swedish song. Went to literaries, parties and few shows while courting. Church celebrated midsummer picnic day on June 24th and many came."
