time,title,description
[0:00],What hapened in the 1963 First Bank of Troy,"1963 robbery of the First Bank of Troy. The night long siege, holding the Brocke family hostage in their home. He was taken to the bank at 4am. The wait in the early morning hours in the bank. Son's reaction when freed of his handcuffs. Experience of fear. Going along with the robbers rather than resisting. Capture of customers, employees and a little girl. Failure of safe to open at 9am; near violence of robbers, countered by Mr. Brocke. (cont.)"
[30:00],What happened during the bank robbery; search and arrest of the robbers; and after their release from prison,Getting money and escape. Release of prisoners from vault. Search for the robbers; their subsequent actions. The critical clue. Their arrest. Two of the three boys were from Troy; they've held good jobs since their release from prison.
[47:00],Who robbed the Troy bank in 1963; Mr. Brocke later helping the same man,"Dick McConnell, the governor's grandson, robbed the bank; he and his wife were in desperate straits in Clarkifc, and she goaded him into doing it. The teller fainted. His perfect escape. The information came to Mr. Brocke from the owner of the Clarkia store, who saw the man go from rags to riches. Several years after he got out of prison, Mr. Brocke gave him a car loan. He was a man of good character."
[1:00:00],"The first holdup was July 6, 1950; the second was September 5, 1963.","The first holdup was July 6, 1950; the second was September 5, 1963."
[1:01:00],Family Christmas stories; his memories of Sunday school; and American Ridge church services,"Belief in Santa Claus, until his brother told him the truth; his father acted the part every Christmas. Last Christmas with father. School and church Christmas programs. Learning verses for Sunday school - you could always fall back on ""God is Love."" Reliance of American Ridge church on visiting ministers; an emotional sermon preached by the mail carrier."
[1:12:00],Mr. Brocke's views on religion and morality,"Religion is compassion for fellow man, doing the right thing. Going to church can be hypocrisy. Advantage of living here rather than in cnme-ndden cities. Doing right is common-sense; the community will correct you if you're wrong. Money is the root of much evil - how money can destroy people's character. Honest vs. scheming people."
[1:21:00],Stories of men who have made it and who have helped the community; Discussion of wealth in the country,A man who went from rags to riches and back again. A man who became wealthy and helps no one. Farmers became wealthy from a lifetime of work. Difficulty of those who've known wealth to become wealthy again. Favorable terms of establishment necessary for success in farming. Even twenty years ago it was possible to be a success because the investment was low. Wealth was noticed in the early days. Estimate of millionaires in the county today.
[1:30:00],Attitudes towards money and wealth; who made up the bank board in Kendruck,"Success was measured by money. Measuring wealth; stability of most farmers. ""Renta."" The wealthy were more respected then others by the community. Negative attitude towards poor who weren 't helping themselves. Bank board in Kendrick was made up of farmers. Some poor people could never be successful. Average people. Lack of cleanliness among some in country-role of children in improving their parents' homes."
[1:42:00],Discussion of the different cultral groups in Troy,"Backwardness of country people compared to town in learning English. It took him ten years to be accepted in Troy; he was often put in his place. Clannishness of cultural groups: Swedish-Norwegian joking rivalry, domination by Swedes in Troy. German communities. American Ridge was American. Klan cross burnings in Kendrick. Farmers weren't worried about Wobblies."
[1:52:00],Economic issues between the 1930s and 1970s,"A healthy economy has money in the pockets of farmers and laboring men. Enormous power and uncontrolled growth of corporations presents severe crisis for society. We are now (1976) in the midst of a depression, with significant differences compared to the thirties. Abuse of credit is severe; people don't know how to save, (continued)'"
[2:00:00],Discussion of inflation and price controls,"Credit creates inflation; paying more than you should is inflation, and it's in the air. Price controls should've been instituted five years ago."
[2:04:00],Ole Bohman helping local students with loans,Ole Bohman wouldn't tolerate being called a liar - two cases. Ole Bohman wasn't a man who tried to judge character. He or Ole Bohman would be lost banking in the city. Before giving student loans he often checked with the parents or school (without the student knowing). Helping a woman law student.
[2:19:00],The change in women banking; from almost no banking to doing most of the banking,Wives were afraid to go into the bank in the early days; by the Second World War they were transacting most of the business. Dealing with a woman who kept spending more than her husband was making; the husband's shame.
[2:23:00],Managing the money of both loggers and farmers.,Farmers and loggers: fear of fatalities in the woods. Many farmers used to log. Logger drinking. Managing money.
