time,title,description
[0:00],Wells Family; Pat Malone,Chuck and Mary Wells; he handled Chuck's affairs. Pat Malone.
[8:00],J.P. Vollmer's reputation and Harkin Melgrade helping him re-open the bank,J.P. Vollmer's reputation. Harkin Melgrade reopened his bank almost immediately after the holiday.
[14:00],How the bank survived after the bank holiday and his money philosophy,"How the First Bank of Troy raised $50, 000 in one afternoon to reopen after the holiday. Answering Wheeler, the tough bank examiner: the loans would be repaid because the people were honest. Money philosophy of the chain banks. Loans to oldtimers without money or credit, because they were trustworthy."
[29:00],Losing loans to get rid of bad debtors and who it was hard to collect from,"Losing loans got rid of bad debtors. It was often hard to collect from preachers, doctors and teachers."
[30:00],Loan policies; his hours of buisness; and what was important for the bank to support,Chain bank policies in small towns. Need to support major community projects like church building. He tried to close the bank for the shortest time at lunch. Loan policy was not liberal.
[37:00],Types of loans and the speed they were paid back at; Psychology of repayment; and the respect of the Troy Bank,Slow loans. Dependency on seasonal work and mortgage payments. Banking department regulations have become less flexible. Relationship between banker and examiner. Psychology of repayment of loans; preference of Troy bank for writing off slow paper in the books. Troy had the respect of the banking department.
[49:00],Aftermath of Korean War on farming; good prices; and the decline of family farming,Difficulties of GI's starting farming after the Korean War by borrowing money. Price supports were good; prices are bound to fall through overproduction. Decline of family farming.
[54:00],How the depression affected the Troy Bank; F.M. Green appointment as VP; and Ole Bohman's loss of stock,"Depression for Troy bank; closure of Spokane correspondent bank, appointment of F.M. Green as vice-president, Ole Bohman's loss of stock in bank, (continued)"
[1:00:00],Raising money for the bank after the holiday,"Raising money for the bank after the holiday - shares for $1,250."
[1:04:00],Frank Green homsteading on Little Bear Ridge; Family relations to General Lee; and how Mr. Brocke and Ole Bohman made extra money during the depression,Frank Green homesteaded on Little Bear Ridge. Family relation to General Lee. He eloped with a much younger girl. Some of his business interests. His importance in Troy. Taking over Williamson's general store with Ole Bohman in depression; working in the store.
[1:16:00],"Stories about ""Gypsys"" and kids stealing",Gypsy stories. Their ability to get money from cash registers. Stealing kids. Brother George's joke. Their friendliness and stealing.
[1:21:00],What young people did for entertainment in the area; going to dances in Helmer,Entertainment for young couples. Nights at the Helmer dancehall with friends.
[1:26:00],Drinking moonshine; buying moonshine; and getting in trouble because of drinking,Drinking moonshine. Getting blackballed - set up and bribed. Buying moonshine secretively.
[1:30:00],People in Kendrick and Troy who made moonshine; law enforcement during Prohibition,"The ""horse"" doctor during Kendrick's flu epidemic became a moonshiner on Main Street until he was discovered Troy moonshiners; some bad moonshine. County law enforcement during prohibition."
[1:40:00],American Ridge boys (representing Kendrick) beat the hot Moscow team at baseball.,American Ridge boys (representing Kendrick) beat the hot Moscow team at baseball.
[1:46:00],Throwing eggs at an African-American; well-known Chinese man in Kendrick,"Throwing eggs at a black boy at the county fair. Jean Chinaman of Kendrick, a well-known gardener."
[1:55:00],Importance of recording oral history,Importance of recording oral history.
