time,title,description
[0:00],"Young married women picked peas, working conditions","Young married women were pea picking. If you didn’t do a good job, probably wouldn’t ask you back next year. Starting it felt a little dizzy at first. Floor boss went around to make sure women weren’t falling asleep. Floor walker Mrs. Layla (?) watched over sixty women as they sorted peas. Didn’t know if any men picked peas. Started at twenty-five cents an hour, increased to roughly a dollar. If in season, it was five days a week. Gave overtime, which was time and a half."
[4:00],"People moved into jobs in town as they aged, women working at the University of Idaho","When farmers (men and women) got too old, they went to town to find jobs. Now more women working at the University."
[5:00],"Techniques for picking peas, packing apples","Techniques for picking peas. Black or shrivelled you had to pick out, let the good ones continue on. Picked Alaska peas mainly. Picked prunes for a while, then eventually apples. Some of the workers boarded at the hotel. She roomed with a girl in her mother’s home. Only packed apples, never picked. Put apples in boxes, gotten ten or twelve cents a box; the best packed a hundred a day, average was seventy to eighty-five. In pea picking, had five minutes off every hour."
[12:00],"Picking peas for extra income, seasonal work","For many, the job was to supplement extra income; there were a few widows. Sometimes husbands worked at a different part of the factory. Picking peas was mainly seasonal work. Nowadays a lot of people feel that both parents have to work: increased cost of college, keeping up with the Jones’s."
[16:00],"Acted as a nurse during the war in Coos Bay, Oregon",Being a nurse before and during World War I. Was a trained nurse when she went to Coos Bay. Pay was okay for nurses (no more than twelve dollars a day). Almost always went to the beach during their days off.
[25:00],"Working as nurse during World War I, experiences with Army officers, working conditions in hospitals","Army came to hospital and asked nurses that were interested to sign up; sister went because she wanted excitement. Worked in emergency hospital by the shipyard, saw many injuries, there was no doctor with them. No infirmary, just an office. For military, formed hospital unit consisting of a hundred nurses and seventy-five doctors. Slept wherever they could get it, in tents, in barracks, in old hospitals. Staff at the field hospital, two doctors and two nurses to each operating team. Injuries men received, mostly bullets, lots of shrapnel. Lots of men were fighting the flu, hard to treat without proper facility (too many people in one place), many died because of it."
[36:00],"Working in field hospital, very emotional","Work in the field hospital. Emotional toll. Feels when training to become a nurse you become immune to most things. When she returned home, she couldn’t be a nurse again, didn’t like to do it anymore."
[43:00],Fighting conditions during World War I,"Conditions of fighting during WWI; fighting in foxholes. How boys faced death and dying; most of them were unconscious, and others just wanted to die and were ready for it. Thought there would be war in the future too. At the time, believed that WWI would be the last war for the United States."
[50:00],Doctors only operate if necessary; citation for bravery received,"Doctors operated only when necessary, when they thought they had a chance of surviving and healing. Got a citation for bravery after the war because they were told to move further behind the line but didn’t follow orders."
[53:00],"Working as a nurse, male soldiers were lonely","Men were pretty lonely, especially not seeing women. Any woman looked good to them. She was about thirty when she was a war nurse. Nurses managed to stay fairly clean. Living conditions for the nurses in general."
[58:00],"Where women could go escorted to casinos, social life in camps","Women couldn’t go to casinos in Monte Carlo by themselves, had to be escorted. Women could play, but no one with uniforms could play. Social life in the camp. Made a Christmas tree for the orphan’s home."
