time,title,description
[0:00],Duff and Wagner in Hoodoos fought; Price left Hoodoos,"Duff and Wagner, two bachelors in Hoodoos who fought over land. Price forced out of the Hoodoos by county commissioners so children could attend school."
[6:00],Mother's schedule,Mother's schedule. Worked minimally on Sunday. Children used to have to mind better.
[14:00],Husband's father bought a cow; taken to dances; Palouse,"Her husband's father came up to buy a cow from Edna's father. Her husband would pick her up and take her to dances, Palouse, etc. Brothers would take her to dances when younger. Girl couldn't leave dance hall alone."
[22:00],Moved in after marriages; childbirth,Edna moved in with her husband's parents after marriage. No mothers or children lost through the midwifes.
[26:00],Husband worked horses; runaway,Husband only would work horses ten hours. Edna had a runaway on a hay rack.
[31:00],No cars; work nerve racking,Families closer because no cars. Work more nerve racking now.
[36:00],Turkey money spent on liquor,Her father gives a man his wife's turkey money and he spends it on liquor.
[40:00],Railroad built; logs from Woodfell,Railroad being built brought people and jobs. Logs floated downstream from Woodfell.
[46:00],Wore one dress for a year,"Her mother had one good dress, a green sateen dress, for 15 years. One year Edna wore one outing flannel dress the whole school year."
[50:00],Threshing machines,"Few threshing machines before 1910. Got 4' combine in '42,"
[55:00],1933 Depression; bought hay; sold butter,Going to Palouse with $20. in husband's pocket during the '33 Depression. Hauled hay from Woodfell for $3 - $4 per ton . Mother one year sold one ton of butter.
