time,title,description
[1:00],"First explorers, missionaries; Idaho territorial government; Tom Tierney first permanent settler","Background for Latah County history. Waves of visitors paralleled the early years of the Northwest: explorers Lewis and Clark, fur traders, missionary Henry Spalding. Issac Ingall Stevens, territorial governor of Washington, left the first written record in 1855. The E. D. Pierce party, led by Jane Silcott (Chief Timothy's daughter), passed through the county and discovered gold near Canal Gulch. The gold rush started the town of Lewiston, and the Idaho territorial government began. In 1870 the first permanent settler, Tom Tierney, homesteaded. The first wagon train came in 1871."
[9:00],Origins of the city name of Moscow,"Moscow was named after Sam Neff's hometown of Moscow, Pennsylvania. Napoleon's retreat made Moscow a popular name in the U.S. Other stories about Hog Heaven, ma's cow and moss cow."
[13:00],Native American presence in Latah County; Nez Perce,"The location of the spring where Father Cataldo and Henry Spalding camped in the county. The routes of the two Indian trails in the county, Greater Nez Perce Trail and the Red Wolf Trail. Indians used the country to fatten their horses and gather camas: Latah is Nez Perce for ""the place of pestle and pine."" The area was a place for meeting with the Coeur d'Alenes and the Spokanes, and horse racing."
[22:00],Settlements during the Nez Perce War of 1877,"Several forts were built around Moscow during the Nez Perce War of 1877. The settlers weren't in danger, but they formed companies, like the civil war."
[29:00],"Old Chief Joseph, Young Joseph","Old Chief Joseph renounces Spalding when he realizes the government is taking the Wallowas away from him at the Treaty of 1863. Old Joseph tore up the Book of Matthew and left the treaty conference. Young Joseph takes his people in retreat in 1877, but is defeated short of the Canadian border by the coming of winter. Progress in American attitudes towards redressing the wrongs done the Indians."
[40:00],Early Years of Moscow,"Early years of settlement. Some memories of Lillie Lieuallen: the Lieuallen store, and land at the site of Moscow."
[46:00],Why North Idaho Didn't Join Washington State,"Munson's explanation of why Moscow got the university, Boise the jail, and Blackfoot the mental institution. There was considerable sentiment in the area to become part of Washington; but South Idaho wanted the north to stay because of all the taxes from the mining country. Why the College of Mines should be kept at Idaho."
[50:00],Debating the Oil Trusts,"Governor McConnell gave Lola information on immigration which Lewiston Normal used in winning their debate with Cheney; Lewiston argued that the Northwest needed more people. She practiced her debate on busting the oil trusts with a nice old woman who turned out to be Ida Tarbell. Miss Tarbell had just spoken at the local universities on ""Oil: Its Power and Promise."""
[56:00],Governor McConnell's History in Moscow,"McConnell's early career; he liked to say he was the only governor who walked into Idaho. He was very civic minded. His big store and other businesses in Moscow. In the Panic and Wet Harvest of 1893 he heroically went bankrupt rather than foreclose on the farmers, and even managed to pay off his debts. His wife homesteaded the McConnell Mansion, which is probably why she stayed in Moscow when he went to Boise as governor, and Mrs. Borah served as his hostess."
[1:05:00],McConnell girls attended Moscow Academy; William Borah; other members of Moscow society,"The McConnell girls were at the center of Moscow society, very popular and witty. They attended Moscow Academy, run by the Presbyterian Church before the university came. Mrs. Borah's joke about the first time she saw William Borah, with his mouth open, and her crack about President Harding's propensities. The girls told of watching the Chinese miners their father had brought in to Creek. Maude Barton Hunter, the Mixes, the Hortons and the Davids were also Moscow society."
[1:13:00],Moscow Settlers in 1877,"The town of Moscow began about 1877. The 1877 wagon train brought the Clydes, Zitlers, Snows, Finneys, Stewarts and others. They came from Kansas after the grasshopper plagues, hearing glowing reports from the Stewarts. On arriving they camped at Uncle Billy Taylor's, who gave them fresh produce from his orchard and urged them to stay on his place until they located their homesteads. The Clydes built a log cabin that fall, and then Lola's present house the next spring, the first in the country which used lathe and plaster. They were highly skilled, making pottery; and one was a wheelwright. Grandpa Zitler had a civil war pension from injury. They were Pennsylvania Dutch. The women wore bonnets inside for modesty; they cooked the old recipes, and quilted beautifully."
[1:24:00],Schools began immediately after Moscow settlement; social events,"Schools were started immediately after settlement. Teachers were often not well educated. School was crowded, and cold and muddy in winter. Big kids helped little ones learn. Lola escaped by reading David Copperfield. School was the social center of the community: Friday afternoon recitations, Friday evening party games, basket suppers and courting. Enjoyment of literaries, debate topics, speaking memory gems. The last day of school. Those who enjoyed bees the most needed them the least."
[1:36:00],Difficulties with Teaching and Education,"Problems in teaching: the form was more important than the content, learning by rote more important than understanding, Lack of individual instruction; structure of classes; disciplinary problems. Her library reading. Some students couldn't speak English; transportation to school in winter."
