time,title,description
[0:00],Farming on the Rimrock and renting land from the Native Americans through the agency at Lapwai,Family farmed on the Rimrock; they rented land from Native Americans through the agency at Lapwai. They had about twenty head of horses on their small farm.
[7:00],Knowing George Peoptalkt and his friends; how time was spent; and going hunting,"George Peoptalkt. His Native American friends. How they spent time and got by. Going hunting with Peopeo; learning ""still hunting""."
[11:00],Beautiful bead work by Native American women.,Beautiful bead work by Native American women.
[12:00],Interacting with the local Native Americans; giving produce and getting huckleberries and fish in return; Family treated them equally,"If Native Americans liked you, they were very close friends. His family always gave them produce, and got huckleberries and fish in return. His family treated them equally."
[15:00],Jackson Sundown; learning to ride horses; participating in the Genesee rodeo; how horses were trained,Jackson Sundown. Peopeo's swim in the river before break fast. Kids learned to ride. Genesee rodeo. Local people brought in horses. You used to ride until the horse quit bucking.
[23:00],Working and riding in the Genesee rodeo; A friend learning to ride buffaloes as a child; discussion of different breeds of horses around Genesee,Working in the rodeo. Riding bucking horses. Jackson Sundown learned by riding buffaloes as a kid. Arrival of bucking string with the Hannah brothers in 1929. Breeds of horses around Genesee.
[30:00],Going to country school during the flu epidemic.,Going to country school during the flu epidemic.
[33:00],Working on a farm; riding into Genesee for school; Harvest and threshing machines and working with them; The differences between tractors and horses,Working on the farm as a boy. He rode seven miles to school in Genesee each day. Harvest work at Genesee - threshing outfits came from Troy. Harvest tramps. Farming on contours took care of steep hills. Tractors were more difficult than horses because they were heavier.
[39:00],They had trouble when the depression came; times got better when World War II started.,They had trouble when the depression came; times got better when World War II started.
[42:00],His father coming east to Colton from Oregon due to land opening up for cattle; father using freights between Lewiston and Colfax,Father came to Colton in 1878 from the Willamette Valley with cattle when they heard of the land opening up. Father freighted to Lewiston from Colfax.
[45:00],Rosenstein family; politics during the 1970s; Decline of farming and his work after the Depression; Growth of farmers' unions,Rosenstein family. Politics today. Decline of numbers of farmers. His work after depression. Growth of Genesee Farmer's Union.
[50:00],Rough locking wagons to get down grade from Genesee. The river.,Rough locking wagons to get down grade from Genesee. The river.
[53:00],Friendship of family and Peopeo. Recollecting of the 1877 War. Going huckleberry picking with Native Americans,Friendship of family and Peopeo. Recollecting of the 1877 War. Native American huckleberrying.
