time,title,description
[1:00],Took Post Office Exam and got mail route out of Voila,"Took Post Office Exam and got the mail route out of Viola. Traded work horses for travellers and started work May 6, 1914,"
[5:00],He used one full-blooded Hamilton for 14 years,One full blooded Hamiltonian he used 14 years. Got soaking wet the third day out. At first just an open cart. Twice weekly Spokesman Review taken by many. Got frostbitten one day when it was -35 •
[13:00],Spots where the snow would melt off and he walked while the horses pulled the sleigh through the mud. Mail route 19.56 miles when he started and 24 when he transferred.,Spots where the snow would melt off and he walked while the horses pulled the sleigh through the mud. Mail route 19.56 miles when he started and 24 when he transferred.
[16:00],"For one week Inland couldn't get mail, but still went to deliver mail using snowshoes",one year the Inland couldn't get through for one week so there was no outside mail but he still went out to deliver the mail. Weather was so bad he did only half the route each day and did much of it on snowshoes. Made a short cut one time and broke his snowshoe strap and fell in up to his chest and barely got out.
[23:00],"He cut 5"" thick fallen tree with pocketknife, broke wagon tongue","A 5"" thick tree fell across the road and he cut it with a pocket knife. Another time he broke his wagon tongue. He chases a runaway colt and caught him with a neighbor's help."
[30:00],Breaking trail in the snow for the horses.,Breaking trail in the snow for the horses.
[33:00],Learned to shoe horses when a boy; Lee Chaney Voila blacksmith tried to shoe an ornary horse and mare pulls muscle,"Learned to shoe horses when a boy. Lee Chaney, the Viola blacksmith, and he try to shoe an ornary horse. He tried to pet it out but he had to rope her and handle her rough. Another gentle horse that would lay down when you put the ropes on her and then fought all the time she was down. Snowballs would slip on the ice. A mare pulls a muscle."
[43:00],Would work in the harvest some summers and in the fall piling 200 pound sacks. Preferred the Hamiltonians.,Would work in the harvest some summers and in the fall piling 200 pound sacks. Preferred the Hamiltonians.
[49:00],Just the Boles store there when he arrived in Viola. Not much mail order then and people traded wood for goods.,Just the Boles store there when he arrived in Viola. Not much mail order then and people traded wood for goods.
[52:00],Fill mail cart with packages; mail to distant relatives; first few years he delivered Christmas day; one year got a Model T,Filling the mail cart with packages. Most mail to distant relatives. First few years he delivered on Christmas Day. Got a Model T and could tell whether he could make it by how much rain fell. Misjudged it once.
[55:00],One good year no snow till after January 15 and got just enough for good sledding. Once drove sled 121 days straight.,One good year no snow till after January 15 and got just enough for good sledding. Once drove sled 121 days straight.
[59:00],Learned butchering from his father.,Learned butchering from his father.
[1:00:00],Raised cattle and sold it to stores,Raised cattle and sold it to the stores dressed out. Guessing weights on four steers (1650) and they weighed out 1674 pounds.
[1:05:00],Got rid of shoeing outfit before his transfer; once at midnight drove to Potlatch and slept in car,Got rid of his shoeing outfit right before he transfered. Knew there was a storm coming up one night. Set the alarm for midnight and drove to Potlatch and slept in the car. Stayed overnight only once when he used horses.
[1:12:00],Borrowed matches from Hale Prince so he can read letters; always delivered medicine,"Often borrowed matches from Hale Price so he could read the names on the letters at night. He'd get wet clear through up to the hips. Always got people their medicine if they were sick. ""I hired out to do the job, and I did it."""
[1:17:00],Joined the Rural Letter Carriers Association in Genesee in 1924. Vice President for Idaho a long time and then President.,Joined the Rural Letter Carriers Association in Genesee in 1924. Vice President for Idaho a long time and then President.
[1:20:00],Mail box improvement week. One new patron used a 5 gallon can and he refused to pick up the mail. Paid by the mile.,Mail box improvement week. One new patron used a 5 gallon can and he refused to pick up the mail. Paid by the mile.
[1:23:00],"Went to the national convention when President of the Idaho group. Tried to transfer so he could get a longer route. Retired May 31, 1955.","Went to the national convention when President of the Idaho group. Tried to transfer so he could get a longer route. Retired May 31, 1955."
