time,title,description
[1:00],Father came from Sweden and worked in Idaho hewing timber for the railroad; left homestead cabin to work on Plummer railroad; homesteaders burnt land; Indians took better care of land,"Father comes to America from Sweden and worked out to Idaho in the early 1880's hewing timber for bridges on the railroad for the Northern Pacific. He left his homestead cabin in spring and walked out to Plummer to work on the railroad. He knew Henry and August Anderson, two of the earliest homesteaders in the area, in Minnesota; many of the early homesteaders in Dry Ridge country worked their way out together on the railroad. They cleared a plot around their cabins in spring so that they would be protected when the Indians burnt off the land in summer. The Indians took better care of the land than whites, because burning kept the brush down. Big yellow pine with four foot stumps."
[7:00],Men walked to Moscow and back for groceries; in winter he cut timber and burnt land; early sawmills,Early sheep grazing and corrals in the area. The men walked to Moscow and back for groceries with a pack on their backs. In winter he cut his timber and burned it to clear land. Early sawmills.
[15:00],"Kids growing up on the Ridge; fishing and hunting, Troy's Midsummer Picnic","Kids had a better time growing up then than now, with get togethers on the ridge. The fishing and hunting was great; blue grouse. Troy's Midsummer Picnic. Dry Ridge School. He followed a footburner plow; clearing the place."
[23:00],Horses hauling to Troy; hauling cream; storekeepers gave kids candy; dance and entertainment in Troy,"Hard on horses hauling to Troy. The neighbors took turns hauling cream to Troy, and father went once a week. Storekeepers gave kids free candy. Troy was not a tough town. Dance entertainment in Troy, on Big Bear Ridge and in Helmer."
[32:00],Elmer started working in woods; fires in Genesee fields; farmers didn't join the union,"IWW. Elmer started working in the woods at Camp 6 in 1918, in early springs and late falls. The IWW's came in and got clean camps. He joined up after a representative explained how they wanted to improve conditions. Fires in Genesee fields, caused by red smut, were blamed on the IWW to turn farmers against them, so they wouldn't join the union. If they had, farmers would have more say now. Ole Bohman made a speech against the IWW outside of the bank in Troy. Elmer's father came home believing it, so Elmer threw his membership card on the table to show him. Many local men carved their initials and ""IWW"" on the old bridge across Dry Creek."
[41:00],Conditions of old railroad camps,Conditions in old railroad camps. Getting rid of bedbugs and greybacks; carrying a little bottle of quicksilver worked well for his father. Using horses on the farm.
[46:00],Description of how strong local men were,"Chuck Wells was the strongest man Elmer remembers in the woods; he used to break peavey handles rolling logs onto decks. Local strong men. Big Anderson: his strength and frightening appearance, his perpetual motion machine, his cancerous leg. Big told how he threw a camel over backwards when he was being bothered about smuggling Turkish cigars on ship. He regularly threw four foot long chunks of wood over his shoulder and hiked up to his cabin with them."
[53:00],Cougar Jack got his name by breaking the back of a threatening cougar with a fence post.,Cougar Jack got his name by breaking the back of a threatening cougar with a fence post.
[55:00],Lots of local moonshiners. Where people went for moonshine as Prohibition grew.,Lots of local moonshiners. Where people went for moonshine as Prohibition grew.
[59:00],"Old Pat Malone sat in his chair and slept; never made arrests, good for Bovill","Old Pat Malone sat in his chair and slept. He never made arrests. If you gave him a bottle, you better not have too much whiskey in it. He was good for Bovill, well liked, and always talked to people he knew."
