time,title,description
[1:00],How one ancestor came to America and a family chest and its westward trek,Ancestor kidnapped on a ship and worked his way from Ireland to America. Story of an ancestral chest and its westward trek.
[8:00],Meeting an Indian in winter. Grandmother braves Indians to get her rug striped.,Meeting an Indian in winter. Grandmother braves Indians to get her rug striped.
[11:00],Why she moved to Troy; purchasing the newspaper,"Moving to Troy to work halftime on the Troy Weekly News with Mr. Jones for whom she'd been correspondent in Moore, Montana. She purchased the newspaper."
[26:00],Why she sold the newspaper; a man complained because his relative was given credit as a businesswoman,She sold out because of opposition among some highly placed foreign-born men to a woman owning a business. English tradition of female subservience. A man complained because his relative was given credit as a businesswoman.
[30:00],Father was a Republican; hear a speech given by a suffragette in South Dakota,"Father a staunch Republican. An orator explained ""free silver."" A speech by a suffragette about women's right to vote in Redfield, South Dakota."
[38:00],Living in a women's dormitory build by a women's group at Redfield College,A women's group got a dormitory for women built at Redfield College. A poor woman student who managed to get through school there.
[46:00],Women's Christian Temperance Union is family tradition; Grandparents' courtship and marriage; how grandparents got started in WCTU,WCTU as part of the family tradition. The old-time pioneer women did not talk freely. Grandparents' courtship and marriage; their conversion by an evangelist to the WCTU.
[54:00],Grandmother's gift for gardening; experiment of growing food form a single potato,"Grandmother's gift for gardening. Experiment of growing a great deal of food from a single potato, (cont.)"
[1:00:00],A bushel from one potato.,A bushel from one potato.
[1:03:00],working as a jail visitor for WCTU; discussions of different people she saw as a jail visitor,"Working as ""jail visitor"" for the WCTU. Story of a boy set-up by a gang. ""Jail visitor"" as a department of WCTU, carried on individually. A mentally disturbed boy."
[1:15:00],WCTU doesn't do much except fight booze; trying to locate needy families for Thanksgiving dinner,"WCTU does much work besides ""booze fighting"" Difficulty locating needy family to give Thanksgiving dinner."
[1:18:00],Stories of how she gave charity in the early days,Giving charity in early days - a painter who drank his earnings; a lady who wouldn't take a dinner. Visiting a terrible home; they were forced to leave town.
[1:28:00],Mother fed all hungry men who came to the door,Suffering of people in hard times. Mother fed all hungry men who came to her door. A businessman begged Mrs. Grove for food in DesMoines. (cont.)
[1:30:00],More about hard times. A tramp and a businessman traveling together.,More about hard times. A tramp and a businessman traveling together.
[1:36:00],A mysterious woman who appeared on Mrs. Grove's doorstep in Moscow.,A mysterious tramp who appeared on Mrs. Grove's doorstep in Moscow.
[1:43:00],Acquiring and living in her Moscow home. Paying a carpenter in lean years.,Acquiring and living in her Moscow home. Paying a carpenter in lean years.
[1:46:00],Boarding college boys in Moscow; advantages of having butcher choose meat cuts,Boarding college boys at her home (1932-1934); one is still in touch with her. Two big-eating freshmen who fortunately went elsewhere. Congeniality and appreciation of the boys. Their sadness at the close of the year. Advantage of having the butcher choose the meat.
[1:54:00],She matriculated at the university at the age of eighty-two.,She matriculated at the university at the age of eighty-two.
