time,title,description
[1:00],Early settlers; Grizzly Camp names after Griswald,"Early settlers. Grizzly Camp named after Griswald. Fishing trips to Grizzly Camp, St. Joe, Honey Jones Falls,"
[6:00],Mining muddied streams; Palouse had sawmill and brick plant; origin of Potlatch's name,"Mining muddied streams. Palouse had a sawmill and brick plant that made jugs, etc. Origin of Potlatch's name. Bad logging practices in early years partly remedied by CCC's."
[11:00],Viola Meek's funeral; Meek's sawmill; early businesses in Viola,Watching a fifty wagon procession come to Viola for Meek's funeral. Meek's sawmill. Listing of early businesses in Viola. Beasley's girl is killed by the tumbling rod at the gristmill. Stecker's boy is accused unjustly of burning down the church and schoolhouse.
[18:00],Uncle Wes Palmer raised large horse herds for cavalry,Uncle Wes Palmer raised large horse herds for cavalry remounts. Wes and George Hill race to Colfax and back. Their hired man borrows her father's team and ruins them by forgetting to blanket them.
[22:00],Wes sells out and moves to Canada,The pasture in Eastern Washington is fenced up and Wes sells out and moves to Canada. The drive across the tundra to the Peace River. Wes buys his winter clothes at David's and wears them all to avoid paying duty. A blizzard blowing when he arrives in Canada.
[30:00],Wes Palmer and his father Asher Palmer work on Mullan Road for the Army,"Wes Palmer and his father, Asher Palmer, work on the Mullan Road for the army. Asher Palmer's eye is kicked by a mule and they return home to Missouri. One night they camp at Viola and are struck by its beauty and Asher Palmer plants some apple seeds."
[36:00],1870 family returns west by wagon train to Oregon City; winters at Almota to Colfax one day; builds cabins; gets Post Office on Palouse Bridge,"In 1870 the family returns west by wagon train to Oregon City, over winters at Almota and then homesteads at Viola. Her father goes from Almota to Colfax one day for the mail in the snow. They build two cabins, send for the women from Oregon and Asher Palmer gets a full-fledged Post Office, Palouse Bridge. Grandma makes an apple pie upon her arrival."
[42:00],Maxwell's maternal grandparents' journey west after Civil War,"The Maxwell's, her maternal grandparents', journey west after the Civil War. Their stop in the mid-west is ended by grasshoppers and a hard winter. They took an immigrant train to San Francisco and boat to Oregon City where they stayed for a few years."
[48:00],Maxwell's came to Colfax for railroads and homestead,The Maxwell's came to Colfax and cut rails for a couple years and then homesteaded near Whalen. Mother's schooling and caring for the family when Grandpa Maxwell broke his leg.
[51:00],A coyote sneaks away with Uncle Wes and Grandfather Palmer's breakfast in the night while Wes watches.,A coyote sneaks away with Uncle Wes and Grandfather Palmer's breakfast in the night while Wes watches.
[54:00],Incidents of when Grandpa Maxwell served as orderly in Civil War,Incidents related of when Grandpa Maxwell served as an orderly for General Sherman in the Civil War. Scared during a retreat by the army mule. Setting a turpentine forest on fire.
[59:00],"The stage driver, Green Chambers, has a Chinese passenger from San Francisco.","The stage driver, Green Chambers, has a Chinese passenger from San Francisco."
[1:00:00],Chinese man at Grizzly Camp mistakes bear carcass as human;collects gold dust every month from miners,(continued) At Grizzly Camp the Chinese man mistakes the hanging bear carcass for a human and is scared. He collects gold dust every month from the Chinese miners. Bob Nugent's tale of the pot of gold of the Chinese.
[1:06:00],Story of Grandma Maxwell befriending the Native Americans,Indian scare. Grandma Maxwell and Mrs. Roland not afraid and don't go in the fort. Grandma Maxwell's story of the Indians befriending them when Grandpa broke his leg.
[1:10:00],Experiences picking beans in later years with an Native American friend.,Experiences picking beans in later years with an Indian friend.
[1:15:00],Glen and Claude herd cattle on Hatter Creek; she goes out to cattle camp near Elk River,"Glenn and Claude(two brothers) herd cattle on Hatter Creek. They pick huckleberries, and skin out a lost lamb with a pocketknife. She goes out later with her violin to the cattle camp near Elk River. The car motor blows so they stay a week during which time Verna goes with Ranger Stoddard and his daughter to Elk River Falls and to install a phone line on Elk Mountain. She and Delva Stoddard get food scraps for stock the last day she's at Elk River. The Stoddard's well-stocked log cellar. The section workers listen to the Palmer band playing."
[1:25:00],Fourth of July celebration,"The Fourth of July celebration. Patsy wins the horse race, the horses are stolen and Glenn tracks them down."
[1:29:00],"Escaping from a fire over Neva Pass with Old Joe, the bull, in the lead","Escaping from a fire over Neva Pass with Old Joe, the bull, in the lead."
[1:30:00],Visiting cattle camp with her cousin and encounters with cougars,Visiting the cattle camp with her cousin. Hearing cougars howl. One cougar is chased right through camp. Next day one follows in her horse's tracks until right near camp.
[1:35:00],She cuts through Malcolm on the way home several times,Cutting through Malcolm's on the way home. A week later she takes two horses back up to camp. She cuts through Malcolm's again.
[1:42:00],Betty starts to run home from near Flannigan Creek and Pete takes her time to catch her.,Betty starts to run home from near Flannigan Creek and Pete takes her time to catch her.
[1:45:00],Herding cattle on the stubble,"Herding the cattle on the stubble. A badger hole, losing two cows on the railroad tracks and one cow dying of bloat."
[1:48:00],Myrtle slashes Mr. Gray's cattle with a knife to save them from dying of bloat.,Myrtle slashes Mr. Gray's cattle with a knife to save them from dying of bloat.
[1:49:00],Stories and proverbs; bears show up near their camp,Stories and proverbs. A bear shows up near their cabin and they shoot it. An ode to the Hoodoo country. Another bear shows up near their cabin.
