time,title,description
[1:00],President Garfield's assassination,"Garfield's assassination. Song, In My Saddest Day. Father and father's brother fought in the Civil War, and Billy is born in 1868."
[6:00],Coming West in 1890; immigrant train; sawmill work,"Coming West in 1890, life among the pines prescribed for father's weak heart. Immigrant train. Sawmill work north of Dayton. Building a flume for lumber and cordwood down into Dayton. Cutting cordwood for $1.00 a cord, and having to be satisfied with that."
[13:00],Settling on the homestead,"Settling on the homestead. Piling brush and burning timber. Four or five years to bring a homestead into shape, Billy wouldn't try it again. Preliminary trip from Dayton to decide which land to homestead. It took courage for a man with a weak heart to homestead. Opening the reservation for homestead. People had a variety of reasons for coming West."
[24:00],"Many homesteaders mortgaged and left; J. P. Vollmer, Lewiston banker, used the foreclosures to back his bank","Many homesteaders just proved up and mortgaged and left. J. P. Vollmer, Lewiston banker, used these foreclosures as backing for his bank."
[26:00],Neighbors were neighbors and didn't pry. had a nice homestead.,Neighbors were neighbors and didn't pry. had a nice homestead.
[31:00],Most homesteaders would attend church when possible.,Most homesteaders would attend church when possible.
[32:00],Local sentiment about the Steunenberg murder and trail,Local sentiment about the Steunenberg murder and trail was hard to determine. Billy doesn't believe it is right to destroy someone else's property.
[36:00],Billy's opinion about government and law; prohibition,"Billy feels that if a government gives you land, you should obey their law. Prohibition was a fake, lots of people broke that law."
[39:00],Burning out stumps in his spare time; harvesting by hand,"Burning out stumps in his spare time. Harvesting hay by hand from among the stumps. The only stumps that would burn out were the pines, fir had to be blasted."
[43:00],"When a homesteader worked out for extra money, it took longer to make homestead comfortable; life on the ridge became more convenient","When a homesteader worked out for extra money, it took longer to make the homestead comfortable. When Leland sprung up, life on the ridge became more convenient. The grade from Cedar Creek to Kendrick was a ""holy fright."""
[46:00],Billy feels worthless and is worried about the high price of things,"Billy feels worthless at 105, got a letter from President Nixon. Billy is worried by the high price of things; a cow that once sold for $12 now goes for $150."
