time,title,description
[0:00],Exclusionary immigration,Exclusionary immigration.
[4:00],Chinese immigrants in early Walla Walla; Building a large building in 1911,"Protection of Chinese in early Walla Walla by the fort. Father could have got land in the middle of town. Chinese in Walla Walla built a large building in 1911 for stores, lodgings and meetings. Family stores. Decline of the building through time."
[18:00],Elders had authority over disagreements and offenders,Disagreements settled by elders in meeting hall. Why elders had authority. Ostracism of bad offenders. Provision of lodgings for newcomers and old people.
[30:00],Justice was handled by the community and family,"Justice handled by group and family, not by American law. Today we are wrongly lenient with criminals. Chinese emphasis on community responsibility."
[45:00],Commercial relations of Chinese workers in Walla Walla,"The six companies were like a chamber of commerce, but didn't exist in Walla Walla. Stores acted as middlemen for Chinese purchasing from whites."
[48:00],Council of Elders,Council of elders made up of elder from each family. If possible disputes were settled within the family.
[51:00],Renting farmland and truck gardening near Walla Walla,Division of labor in truck gardening. Rental of farmland near Walla Walla. The one remaining truck gardener in Walla Walla. Varying degree of profit for gardeners.
[1:00:00],Selling onions in Portland,"He sold six carloads of onions for 250 per hundred pound sack in Portland as a teenager, in a bad year for the market. Problems with onion crops. Selling directly to stores."
[1:10:00],Working as a truck gardener; Living on the farm; Saturday night in Walla Walla,Tasks and the long work day in truck gardening. The bunk house. The group purchaser. Living and working on the farm year-round. Saturday night in Walla Walla.
[1:20:00],Few Chinese women immigrated; Difficulties of family separation; Travelling to China and America,Extremely few Chinese women in America. Marriage continued despite separation of partners. Efforts of men to return to China to visit wives and family; most continued to work in America until they were too old to do so. Men could only leave state for one year without losing immigration status. Taking the ship to America and China.
[1:30:00],Staying at the immigration building in Seattle,She had to stay forty days in the immigration building in Seattle when they first came. Her mother carried her sister on her back. They had little luggage.
[1:36:00],Father's education in America; Mother's reluctance to come to America,"Need to have money to send a man to America; families with a man in America were better off than many. Her father went to school in America. Her mother's reluctance to come to America, to give up her family to be dependent on husband alone. Her father's training and Christianity."
[1:45:00],Meeting her father; Father decided to send her to college; Family's dependence on males,"Her first meetings with her father; he found her spoiled; she refused to hug him. Father decided she should go to college. Women's dependence on father, husband, and son. Separation harder on husband than wife; family support."
[1:53:00],Restrictions against bringing wives eased by the end of the second war,Restrictions against bringing wives eased by the end of the second war.
