time,title,description
[1:00],Names from Bovill logging country; Bill Helmer,Some names from Bovill logging country. Combining into one lumber company. Bill Helmer.
[15:00],Loggers camped through winter in Spokane; jungle near Bovill; employment agency in Spokane; sent loggers to the Potlatch camps,"Jungling-up. Broke loggers camped through the winter in Spokane. There was a small jungle near Bovill. Hippies jungle-up now in Spokane. Joe sent loggers out to the Potlatch camps from his employment agency in Spokane. The company asked them to find particular men. They were nearly all broke, and the agency would grubstake them to the camps. The men always paid off their debts before they blew their earnings."
[21:00],"Logger chased by two men; found $35,000 and deposited in the logger's name","A logger gave Joe his pocketbook to hold while he was being chased by two men. The man didn't come to collect it, and Joe found $35,000 in it, which he deposited in the man's name in the bank. Two years later the man showed up, and when Joe finally told him about his money, he refused to believe it, convinced he had been robbed that night."
[27:00],"Dick Green blew $500; Bob McGee blew $10,000 in Spokane; made a deal with the mayor; took 200 men out of Spokane jail;","Dick Green's friends get him to blow in the $500 he saved to get back East. Bob McGee blew $10,000 in Spokane. After carrying men through the winter, the Spokane sporting girls came to camp to pick up the men's first paychecks. Joe took 200 men out of Spokane jails, making a deal with the mayor."
[30:00],Throw a thief out of camp; man who took girls to Seattle and back; camp inspectors,"The men would throw a thief out of camp. They were very honest and very hard workers. One man took girls in a taxi to Seattle and back. ""Camp inspectors"" were men who went from camp to camp but didn't work long; Dan knew one who talked a good line of baloney."
[37:00],Arriving in Camp 3; no food or bedding; gave foreman a lecture,"Arriving with other men in Camp 3 in the evening, Fred and Charlie Weyerhaeuser found that no food or bedding was available, and gave the foreman a lecture."
[40:00],Gave men extra when they quit so they'd come back; Old Pelton turned down a farming teamster,"T.P.Jones told Dan to give men a little extra when they quit, so they'd think they got the best of the company and come back. Old Pelton turned down a farming teamster, and kept his men for many years."
[44:00],First log drive; Susquehanna River,"Joe's first log drive, on the Susquehanna River in Pennsylvania in 1910."
[45:00],Walking daily,An old skinner told a young man to walk. Walking Daily.
[47:00],Dick Ferrell preached to the men; cook came back to the camp; playing tricks; entertainment at the camp; the Spokane Hospital,"Dick Ferrell preached to the men, and had to throw one out; he was very popular. A cook came back to the camp with ""room for improvement yet."" Baker, a cook, strung along a salesman with an invention of his own. Baker tricked Ed Conners about hens laying hard boiled eggs, and Ed got back at him by pretending to hemorrhage all night. Tricketers and storytellers gave entertainment to the camp. The Sisters from Sacred Heart collected $1 a month from the loggers in camps to pay for the Spokane hospital."
[59:00],Camp cook couldn't get the stove to work,A camp cook couldn't get his stove to work because he ran the pipe the wrong way.
[1:00:00],Took cook for a haircut; got drunk and could barely walk back; food was good,"Dan took this cook down for a haircut, and after getting drunk, he could barely manage to walk back, falling into creeks. Joe's cooks had to have a vacation every three months. Marsh and Musch were among the good cooks. Gyppo cooking didn't work too well, The food was good, and lots of it."
[1:08:00],Big Gil's wake; Gil's sister's sons,"Big Gil ordered a dozen eggs and two steaks, but didn't get it. At Gil's wake his sister showed off her three very different sons. One son stole her nurse; he'd come into camp for a job from Gil, after he got over the shakes."
[1:12:00],"Jacks that didn't drink; old jacks were cranky; sporting girls in Spokane, Lewiston, and St. Maries","One out of a hundred jacks didn't drink. Most old jacks were very cranky; Tom Logan was good natured, though in pain. George Fosse and Sleigh Haul Brown logged in their 80's. In camp the men were very industrious and didn't drink much. There were sporting girls in Spokane, Lewiston and St. Maries."
[1:18:00],Taking care of a dog to steal whiskey,Dan and Billy Watts had to take care of a mean dog before they could swipe his master's whiskey.
[1:21:00],Camps would strike every weekend; threw organizers out of camp; improved camp conditions; brought men back from strike,"Joe's camps would strike every weekend, and he'd pick them up again in town for the coming week. He threw two Wobbly organizers out of camp. They pressured men to join, but they also improved conditions. The IWW secretary in Spokane took $50,000 from the treasury and got out of town, and the organization crumbled. Joe brought the men back from strike after the company improved conditions."
[1:30:00],Company stool pigeon tried to get names of men on strike; fired stool pigeon; companies met in Spokane; ended the strike and IWW power,"A company stool pigeon tried to get the names of the men who'd gone on strike from Dan. Bob Jones fired the stool pigeon over his brother's (T.P.Jones)objection. All the companies met in Spokane, decided to improve the conditions and then went to gyppo logging, ending the strike and IWW power. Joe met the man who took the IWW money, who explained why he did."
