time,title,description
[1:00],Gil Pippin was a big foreman and a coward,Gil Pippin was a big foreman and a coward.
[5:00],Earliest Potlatch logging camp locations,Earliest Potlatch logging camp locations.
[9:00],Working on the railroad; scene in the Palouse Valley,Working on the railroad Potlatch built in 1905. The scene in the Palouse Valley. A Potlatch representative buys the townsite for a mink farm.
[15:00],Codd logging before Potlatch came in; Spring log drives,Codd logging before Potlatch came in. Spring log drives on the river. Noise of shays - stops chickens from hatching eggs.
[20:00],"Harvard originally had a good future because of the Hoodoo mines, but didn't pay; Gold Bug and Mizpah mines","Harvard originally had good future because of Hoodoo mines, but they didn't pay out. Gold Bug and Mizpah mines. Drilling for steel on Gold Hill - a Kellogg outfit took the rights away from the men who found it."
[30:00],Chinese mining in the Hoodoos; Various mining operations; Dredging on the upper Palouse River,Chinese mining in the Hoodoos. Various mining operations. Dredging on the upper Palouse River
[41:00],The phony story of the Lost Wheelbarrow Mine,The phony story of the Lost Wheelbarrow Mine.
[46:00],Size of early timber in country; how Potlatch logged the timber; using donkeys,Size of early timber in the country. How Potlatch logged the timber. Using donkeys that were too big for the timber in the country. Locations of abandoned donkeys in the country.
[52:00],Bringing hot lunch meals to the men logging in the woods; serving tea instead of coffee,Bringing hot lunch meals to the men logging in the woods near Harvard. Serving tea instead of coffee because of all the French Canadians.
[56:00],Hauling logs to the river; uninformed newcomers write about the country; rumor of gang on Palouse River,Hauling logs to the river. Uninformed newcomers write about the country. Rumor of Henry Plummer gang on Palouse River.
[1:00:00],Why Canfield donated ten acres at Harvard to Potlatch for depot; Cheap price of hay at Palouse,Why Canfield donated ten acres at Harvard to Potlatch for depot. Cheap price of hay at Palouse
[1:04:00],Bill Deary was tough; cutting cedar grove on Meadow Creek; Potlatch fails to seed after logging,"Bill Deary was tough. Laird was helpful to the small land holders. Cutting of beautiful cedar grove on Meadow Creek. Potlatch fails to seed after logging, causing bad erosion."
[1:09:00],Log chutes; men losing limbs to chutes,Log chutes. A man lost his foot on a chute. Sylvan Moore lost his arm hooking at Avon. A man who thought he worked hard when he didn't. Featherstone forces George Nichols to break up a log jam.
[1:14:00],Terrible conditions in early camps and logging; Early wages; Loggers from the east,Terrible conditions in early camps and logging. Early wages. Loggers from the east.
[1:19:00],"How Weyerheauser got his start; how Potlatch acquired land, buying homesteads; decline of prolific fishing","How Weyerheauser got his start, logging ""forty acres"" until the government stopped him. How Potlatch acquired land - buying homesteads. Homesteads lost in 1893. Decline of prolific fishing. Selling back land after logging."
[1:27:00],More about conditions - washing clothes,More about conditions - washing clothes.
[1:32:00],Improvement of conditions by striking IWWs; company pressure to get one union for all the men,"Improvement of conditions by striking IWWs. Patty My Arse. Men refuse to join the Four-Ls, the company union, despite threats by foremen. The AFL told the mill workers they were being had by the Four-L's. Company pressure to get one union for all the men."
[1:39:00],IWWs start gyppoing almost right away; money was cut; how logging is today,"IWW's start gyppoing almost right away, putting many men out of work; then their money was cut. How logging is done today, with few men."
[1:45:00],Harvard town in the logging days; kids get in a lot more trouble nowadays,Harvard town in the logging days. Kids get in a lot more trouble nowadays; in early days they'd get a bad licking.
[1:50:00],Fritz Leinhart elected judge as a joke; Pete Pahnke tries to hew ties; hard feelings over a survey,"Fritz Leinhart elected judge as a joke, to beat a Republican. Pete Pahnke tries to hew ties, and gives up after one tree. Hard feelings over a survey."
[1:56:00],Rivalry between Harvard and Princeton; finding a quart of whiskey at a Princeton dance,Rivalry between Harvard and Princeton. Finding a quart of whiskey at a Princeton dance. Stealing cakes at a dance.
[1:59:00],1930 Depression was tough,"1930 Depression was tough - couldn't sell anything, (continued)"
[2:00:00],Cutting wood in Depression; People who stole,Cutting wood in Depression. People who stole.
[2:06:00],First Harvard post office and store,First Harvard post office and store.
[2:07:00],Quality of Potlatch horses; many were crippled; location of Camp 7,"Quality of Potlatch horses; many got crippled up. Bob Jones took good care of his horses, and made Frank Herzog use one of his prize teams. He gets angry at George Nichols. Early Bovill storekeepers. Location of Camp 7."
[2:16:00],How Prune Joe got his nickname; He fires George Nichols,How Prune Joe got his nickname. He fires George Nichols.
[2:19:00],The isolated family with a crazy mother,The isolated family with a crazy mother.
[2:23:00],"Trapping on the Palouse, Lynx; A pet lynx and a pet bear","Trapping on the Palouse, Lynx. A pet lynx and a pet bear."
[2:30:00],Getting honey from bee trees,Getting honey from bee trees. Tracking down the trees by following the bees. A honey log. DDT killed bees. Two kinds of bees.
[2:38:00],Three colors of bear; Have there been wolves in the country?,Three colors of bear. Have there been wolves in the country?
[2:42:00],Potlatch logging methods during first few years,Potlatch logging methods during the first few years - no donkeys on Palouse. Sleighs and go-devils - sleigh hauls. A man caught in a skidway. Logging with a team on steep slopes.
[2:52:00],Short sighted Potlatch losing methods ruining the country,"Short sighted Potlatch losing methods ruining the country, despite their advertising. Corporations are destroying the United States. Crookedness of politicians."
[3:00:00],"Glen Taylor, an honest man, was labelled a communist and kicked out of the country","Glen Taylor, an honest man, was labelled a communist and kicked out of the country."
