time,title,description
[1:00],Having a career in teaching; social pressure to marry young,"Having a career as a single woman in college teaching, and not marrying until late. Social pressure to marry young. Married women rarely attended college."
[10:00],Differences in college; poor teaching at the University of Idaho,"Now a college education is seen as the beginning of a lifetime of learning, while in the old days it was the end. Most college teaching was memorization and parroting back of someone else's ideas, instead of learning independence of thought. Poor teaching at the University of Idaho—all lecture, no discussion. Antiquated English curriculum."
[23:00],Women largely in college to prepare for jobs; head of college in Pocatello taking men over women,"Women were largely in college to prepare for jobs. They would not be considered for many jobs because ""We've always done it the other way"", which is the worst justification for doing something. Women didn't rebel much against it, conditioned by their upbringing. The head of the college at Pocatello preferred to take men over women whenever they were equally qualified."
[30:00],Not much of a legacy of women's rights; wearing different clothing then the 1970s,"He never justified his belief. There was not much of a legacy of the woman's rights struggle. Dressing as a boy for a masquerade party, Mrs. Otness was regarded as daring. Women wore bloomers for physical education. Wearing anklets instead of knee high socks at Camp Fire Girls camp in the late '20's caused controversy. Men and women were both victims of oppression."
[39:00],Who makes the decisions in a marriage; social climate of the day; learning to fix things in the apartments,"The husband had more say than the wife in basic decisions. In good marriage relationships there was give-and-take; in many marriages the wife had influence by nagging. Mrs. Otness was not indoctrinated by her family, but by the social climate. Boys did not care for ""brainy"" girls. Mrs. Otness learned to fix things in their apartments from her father, and did so while he was gone."
[51:00],Women's equality in pioneering days; concern for status in Moscow,There was more equality in pioneering days; women— especially upper-middle class women—have since been pampered. Concern for status in Moscow.
[55:00],Mother being a member of the Historical club; mother was very adaptable,"Mrs. Otness' mother was for many years the only living charter member of the Historical Club, and was much honored by the club. No one remembers that she quit because a friend of hers was blackballed for smoking. Mother was very forward-looking and adaptable, having the same friends as her daughter in Pocatello."
[1:00:00],Discussion about the Bulgin revival in Moscow; what happened during the revival and the end results,"The Bulgin revival in Moscow. The children were divided into two teams which competed for points every afternoon after school. The two groups almost got to be enemies, and the prize banquet turned out to be a sack lunch. In the evening there were regular revival meetings. Mrs. Otness hears that their stock in trade was to stir one group against another; in Moscow university students were the whipping boys. The Mann brothers orchestra brought suit when Bulgin railed against ""fiddling syphilitics""; but it was thrown out of court because they refused to submit to an examination. A couple decided it was all right to keep going to dances because they wouldn't get it ""off the end of a trombone"". The revival created interest, but didn't contribute to brotherly love."
[1:11:00],Mother's opposition to the repeal of prohibition; dancing was forbidden; brother getting sick from moonshine,"Mother's opposition to repeal of prohibition. Dancing was forbidden in the high school A young man who played in a dance band was expelled from the university by Dean Eldridge for refusing to quit; he became high school band teacher at Walla Walla for many years. Her brother Jack got very sick drinking moonshine with his cronies, and her parents were angry with him and his friends. Nice girls wouldn't go out with boys who drank."
[1:22:00],What dating meant in those days,"Dating meant going to an event, and was more artificial than nowadays. Pregnancy was a scandal."
[1:26:00],Brother Jack's interest in radio,"Brother Jack's consuming interest in radio from its early days. Buying equipment, building a radio shack on a hill, building sets for people. It turned into his career."
[1:30:00],Father thinking radio was a fad; Jack doing well as an electrical engineer,"Father thought radio was a fad, and was opposed to Jack studying electrical engineering in college; mother backed Jack, and then father took the credit when he made good."
[1:32:00],Father's reputation with driving,"Father's reputation as ""Buick"" Woodworth, racing his car around the track against an airplane at the county fair, always losing. He drove the car all the way to California, a daring feat in the teens."
[1:35:00],Early memories of Grandfather Woodworth's farm in Moscow,"Early memories of Grandfather Woodworth's farm, on 6th and Mountain View Road."
[1:38:00],Whitworth School had no provisions for individual differences; reading as a young kid; belonging to Moscow's first Campfire group,Whitworth School had no provisions for individual differences. Her difficulties with artwork and writing by the Palmer method. Reading matter as a youngster: St. Nicholas Magazine. Belonging to Moscow's first Campfire group opened up many interests.
