time,title,description
[0:00],Family came to Moscow because of a job; building a house in Swedetown,Family came to Moscow in 1902 when father was offered a position as a meat cutter with Hagan and Cushing. Building a house in Swedetown.
[5:00],Playing games as a boy; social life was centered around the church; cleaning brick from the burned down administration building,"Playing games as a boy; later social life was largely centered around the church. Fourth of July celebration, horse race down Main Street. Moscow's baseball team. After the university burned down, he and other boys cleaned brick there, and because he didn't strike he got an easy pile."
[10:00],Going to work for Creighton's store; going to work at David's; Running the men's department at David's; David's business practices,"Going to work for Creighton's as a stock boy. He got a job in David's as a salesman in 1910 because he was Scandinavian, and this displeased Mr. Creighton. He ran the men's department until 1950 at David’s, which for years was the biggest department store in North Idaho, selling groceries and dry goods as well. David’s found that students at the university were even a better credit risk than farmers. David’s gave farmers script for produce, some of which was of poor quality. Rural farmers made only a few family trading trips a year to Moscow. Moscow's draw as a trading center."
[20:00],Discussion of two suit styles; Going to San Francisco for the world's fair,"The blue serge suit of 1910. The wild L-system suit style of 1912. Four years later it was English style; wearing one of these suits to the San Francisco World's Fair of 1915, Harry sneaked down to the depot. The trip was by train to Portland and boat to San Francisco. Free lunch in the beer halls of San Francisco."
[24:00],When salesmen came through; taking orders during World War I,"He has held stock in David’s for many years. Salesmen came through twice yearly and displayed their goods in the hotels. During the deadly flu epidemic of World War I, he took hundreds of orders for good quality uniforms from soldiers stationed at the University."
[30:00],How he learned about clothing and the secrets to selling it; treating women with as much respect as men,"He learned about clothing from the experienced salesmen and the store's tailor. The secret of selling was to let the customers express themselves. David's made good on faulty merchandise and had a reservoir of good will. Women often selected the men's clothes, and he treated them with much respect as smart shoppers. A woman who shrewdly bought for her large family."
[38:00],Cost of suits and who bought them until the Depression; discussion of different types of clothing,"Cost of suits. Fraternity house and social group members bought full-dress suits until the depression, when tuxedos came in. Work clothes. Boots and shoes. Student styles were more extreme than regular customers'."
[48:00],Competition with different stores in the area; Cooperation with Chamber of Commerce,"Competition from Williamson's store, which became even larger than David’s. Other clothing stores also provided competition. David’s sold the store to an independent not a chain. Cooperation through Chamber of Commerce brought events to Moscow."
[56:00],Discussion of some of the old buildings in Moscow,"Some of the buildings which have stood since the turn of the century. Division of the town, and some early business. Zumhoff the blacksmith."
[1:00:00],Durnham and Kauffman foreclosing on debtors; Vollmer boasting about the railroad; McConnell managing to pay off debts before going out of business,"Durnham and Kauffman foreclosed on many debtors during the depression of 1893, leaving a bad feeling which virtually drove them out of the area. Vollmer boosted a railroad from Missoula down the Clearwater to Lewiston. McConnell managed to pay off his debts when he went out of business."
[1:07:00],Discussion of the things that the grocery did and sold; ease for students to get credit,The grocery department cured the other employee's love of free chocolates by putting paregoric in some. Kicking a watermelon meant a free feed. Curing Wisconsin cheese on the third floor. An August canned goods display for university people. Ease for students to get credit.
[1:14:00],Skating to Pullman and back in 1918; playing cornet in various bands and winning at the Portland Rose show; Resistance to the dancing and cards,"Skating to Pullman and back after the flood and freeze around 1918. Harry played cornet in the Moscow band, which played ""ragtime"" on a different corner every Friday night. They put together a North Idaho band which took second prize at the Portland Rose Show in 1912. People danced on table tops to the band. As a dance orchestra they played in other towns and charged ten cents a dance at Egan's Hall. A man from Spokane gave guitar and mandolin lessons, and later Harry and a small group gave performances. Resistance of some to dancing and cards."
[1:22:00],Starting scouting and going on three day winter outings on Moscow Mountain; Kiwanis reviving scouting,"Beginning with a social group of Presbyterian boys, Harry started scouting on a large scale in the county. Three-day winter outings to Moscow Mountain. All the boys liked ""everything stew."" Learning skills to build character. The fourteen mile individual hike. Kiwanis revives scouting with $200 and Harry's leadership."
[1:30:00],A University student starting a scout troop for older boys; starting an athletic program,"A university student started the ""Sea Scout Sampson"" troop for the older boys. Through the Kiwanis Club Harry started an athletic program with young troublemakers."
[1:34:00],Doing business in the 1920s and 1930s; how business did during the war and after; Moscow being very fortunate,"Business suffered a depression in 1921, rebounded, had very hard times in the early thirties, did well in World War II, and best ever in '48 and '49. Moscow has been very fortunate except for the depression of 1893."
[1:38:00],Where the country was headed in the 1970s,"We are probably headed for a serious depression now, and will have to conserve energy. The federal government will be responsible because it's encouraged people to spend. People's attitudes must change."
[1:43:00],Discussion of early businessman and businesses of Moscow,"Early businessmen and businesses. Pleasant Home. Hodgins Drugs; Hodgins and David’s always bet a suit of clothes on the winner of the Presidential election. Moscow Hotel. Shields always drove his horse and buggy to work. C.B,Green, M.E.Lewis, O.C.Carssow family grocery. George Webber, Hawkin Melgaard, and others. Washburn and Wilson pea business. Doctors. Neely's livery barn and auto business. Judge Adrian Nelson. Collins and Orland Hardware."
