time,title,description
[1:00],Family history; townsite of Juliaetta; uncle's homestead,"Family history, Townsite of Juliaetta located on Uncle Rupert's homestead. First Juliaetta P. 0.— 1881, Town changes name from ""Schupfer"" to ""Duliaetta"" and reasons why, 1891."
[4:00],Schools in Juliaetta; school hours,"Schools in Juliaetta, temporary and permanent. 60 pupils and 1 teacher; school hours."
[7:00],Farming as a boy; potato picking; crop prices; thrashing; Hazelwood Creamery,"Farming as a boy. Footburners, seeding, self-sufficiency, potato picking. Crop prices. Thrashing. Hazelwood Creamery at Juliaetta."
[12:00],Squirrel hunts; playing ball; swimming hole; Juliaetta tramway; first local telephone,"Squirrel hunts, playing ball, swimming hole. Juliaetta tramway owned by E. W. Porter. Helping out. First local telephone connects top with bottom of tramway."
[16:00],Building telephone sets; Porter's first telephone,"Building phones and telephone sets out of scavenged pieces. Porter's first telephone goes up on ridges, barbed wire for line. 1915 Schupfer brothers buy Telephone Co."
[18:00],Juliaetta cannery; brand names; cannery contracts with tomato growers,"Juliaetta cannery. Record canning 10,000 cans in one day. Brand names. Farm wife thinks ""Royal Club"" better than ""Juliaetta"" but finds out they're the same. Cannery contracts with tomato growers. Cannery burns 1917 or 1918."
[24:00],"Sacked wheat, oats, apples, and cherries; prune dryers","Sacked wheat on Juliaetta tram, also oats, apples and cherries. More fruit raised in early days. Prune dryers."
[26:00],Father from Austria; father works as a carpenter; settle in a cabin near Anatone;,"Father immigrated from Austria, was carpenter. Father makes money while Rupert looks for location with Indian help. Rupert none too trusting of Indians. Settle briefly in cabin near Anatone. Over Fix Ridge to settle at junction of Middle and Big Potlatch."
[30:00],Left Anatone because they were accused of stealing a pig; trouble over a horse,Left Anatone because they were afraid they might get hung for theft of a pig. Trouble over a horse between Rupert and the Indians. Florian Schupfer settles 1883.
[35:00],Socializing with Native Americans; salmon spearing; millpond dries out,Indians buying apples (sometimes on credit) and socializing. Salmon spearing. Millpond dries out and Indian man strips down in front of 40 or 50 people to jump in after the flopping fish. Other help from Indians and problems with one drunk.
[41:00],Runaways; horses conditioned by racing against the train; rigging on hays,Runaways. Horses conditioned to it by being raced against train. Safety rigging on hacks. Usually stopped by getting tangled in brush.
[43:00],"First light on water power; working on telephone, tram, and garage business","First light plan was on water power, sunset until midnight plus Ironing Morning. Working on telephone, tram, and in garage business."
[49:00],Buying a Maxwell automobile,1915 Schupfers buy a Maxwell automobile.
[50:00],Telephone systems; buy both systems to combine into one,"Two independent telephone systems on the ridges, one couldn't talk to the other. Schupfers buy both and incorporate into one system."
[52:00],Bremerton machine shop during the war; teaching people to drive,Bremerton machine shop during the war. Teaching people how to drive. 1919 buys garage with Ed Deobald and sells out in 1921.
[54:00],Hauling lumber off Potlatch Ridge,Hauling lumber off Potlatch Ridge by truck.
[56:00],Working on telephones in California,Working on telephones in California.
[58:00],Working for Potlatch Electric; building line to Bovill,Back to Juliaetta and work for Potlatch Electric. Building line to Bovill. Potlatch Electric sells out to WWP.
[1:00:00],Problems with early phone systems; traveling salesman compete for Potlatch Ridge business; people want phones removed,Problems with early phone systems. Saloon receipts kept in the battery box. Phoneless neighbors using phones. 50 charge put on calls made by people other than those owning phones. Traveling salesman compete by phone for Potlatch Ridge business. People with phones want them removed unless something is done about neighbors' use and abuse.
[0:00],Switchboard operators couldn't understand the caller,"Switchboard operators sometimes couldn't understand the caller: ""new teeth"" for Newt Heath and ""any wine"" for Annie Wien."
[0:00],Stringing line to Bovill; problems with potholes,Stringing line to Bovill. Potholes filling up with water and sheep falling in.
[1:11:00],Crew goes up to Clarkia to get drunk,"Black American on crew—""kind of a clown."" Crew goes up to Clarkia to get drunk."
[1:13:00],Line to Deary and Bovill; rebuilding wires in Bovill; bringing truck to Kendrick,"Line to Deary by Duly, Bovill a few months later. Rebuilding wires in town of Bovill. Bringing truck back to Kendrick."
[1:15:00],George Brunzell drives ground rods,George Brunzell (later President of W. W. P.) helps drive ground rods. Making a driver for them.
[1:19:00],Replacing the steam plant power in Bovill,WWP replaces steam plant power in Bovill. Playing a trick on Hubert Hall.
[1:22:00],"Area offices in Kendrick, Juliaetta, Bovill, Deary, and Elk River","Area representative for WWP; trouble-schooling. Area office includes Kendrick, Juliaetta, Bovill, Deary, Elk River."
[1:26:00],Trouble-shooting on snowshoes,Trouble-shooting on snowshoes. Transformer overload in winter.
[1:28:00],Farmer electricity use,Farmer electricity use; highest was 20 kw/month.
