time,title,description
[1:00],African-American troops in World War I; their work; verses white officers; when veterans returned,"Black troops seldom got to fight in World War I. They did grave digging, camp building, other ""stevedore"" work. His work doing grave registration. White officers were all right. Troops sang. In the South blacks were made to get out of their uniforms when they got off the train; they were denied hospitalization when they returned."
[21:00],Jack Johnson and Moscow carnival; Settle boys and boxing; Spokane Methodist Church; met minister's daughter,Jack Johnson and a Moscow carnival concession. Settle boys and boxing. A family friend. Spokane Methodist Church. How he met minister's daughter.
[29:00],"Family friends in Spokane, tensed; friend's experiences in the Army",Acquaintances in Spokane. Crissman family. King family from Tensed: one of the Kings had a harder time in the Army during the war.
[42:00],"Family interest in dancing, music",He wasn't interested in dancing. Sister learned in Spokane. Not a musical family.
[47:00],Neighborhood parties after he was married; winter travel; Community Christmas; gatherings in abandoned school in Lenville; dances; fishing trips; cars destroying social life in country,"Neighborhood parties after marriage: pinochle, food, dancing. Travel in winter. Community Christmas. Gatherings in abandoned school at Lenville. Dances ended when cars became popular. Fishing trips with friends. Cars destroyed social life in country."
[1:03:00],End of farm self-sufficiency and socializing,End of farm self-sufficiency and socializing: no need to stay on farm to care for stock.
[1:08:00],Helping parents in their old age; family's lives,Helping parents in old age. Siblings' lives. Brother's adjustment to South.
[1:23:00],Work in Portland foundry during World War II,Work in Portland foundry during World War II. Prejudice and job discrimination there. How he became head welder.
[1:34:00],Working in Portland; naming his brother,More about Portland work. Naming brother Booker T.
[1:46:00],Daughter's experiences,Daughter's experiences.
