time,title,description
[1:00],Moving to Idaho from Nebraska; fight with brother hiding in an outhouse,"Move to Idaho a result of letters from Nebraska friends who'd moved out earlier. Fight in Nebraska with brother Dick, hiding in an outhouse."
[6:00],Renting a boxcar; train ride with three families; father hit his head,Parents rented a boxcar to carry belongings out. Train ride with three families. Father lost his sense of balance and hit his head.
[11:00],Arrival in Princeton; moving out 30 days later,Arrival in Princeton. Moved out 30 days later.
[16:00],Walking to school; seeing a bear; shocking hay; Mother's day,"Walking to school. Seeing a bear near gate. Lolah Tribble plowed with a foot burner and shocked hay with her mother. Mother's day, did things the hard way."
[21:00],Going to Moscow the first time,"Five years after arriving in Idaho, she went to Moscow for the first time to buy a winter coat."
[24:00],Father's rules at dances; honeymoon in Spokane,Boys went to girls' home to court. Father's rules at dances: dance with everyone; don't leave the dance hall. Honeymoon in Spokane.
[28:00],Hershiel worked in the woods,Hershiel worked in woods some after marriage.
[30:00],Hershiel logging; cooking for men at logging camps; time away from parents,Stayed near Collins once when Hershiel logged. Cooked for men once at logging camp near home. Only times away from parents.
[36:00],Got used to accidents in the woods,Didn't worry about accidents in the woods. You just got used to it.
[40:00],Nicknames; Hershiel; Uncle Shorty,Nicknames. Hershiel. Uncle Shorty. Dick. Babe (her own).
[44:00],Moonshining; moonshine from Onaway called day-glow red,Moonshining. One still just up Hatter Creek. Some moonshine from Onaway called day-glow red.
[46:00],Trip to Princeton; Hershiel built school for their children; teachers who taught there,Half day trip to Princeton. Hershiel Tribble and others built a school for their children. Lolah Tribble describes teachers who taught there.
[53:00],Scared of the first man teacher she had; teacher who went to dances with the kids,"Lolah scared of the first man teacher she had when moved to Princeton. Next man teacher was boss in the classroom, but would go to dances with the kids."
[1:00:00],Neighbors were her closest friends,Nearby neighbors were Lolah Tribble's closest friends. Don't communicate like that now.
