time,title,description
[0:00],"Moving to Montana from Greenwood, Wisconsin","Why they moved to Montana from Greenwood, Wisconsin. Husband didn't like dairying."
[5:00],Homesteading south of Fort Peck; first flax crop; paying off their barn; Sunday baseball,Homesteading south of Fort Peck in 1910. First flax crop. Paying off their barn by giving dances on the hardwood floor of the loft; people came from great distances to dance . Sunday baseball.
[14:00],The flu was hard on pregnant women; treatment by sweating,Hard work. The flu was especially hard on pregnant women; treatment by sweating.
[21:00],Near death from slow consumption; a voice told her to get up from her bed,"Her near death from slow consumption. A voice told her to get up from her bed and go home, and she did. The doctors called it a miracle."
[30:00],Hard water; Wolf Point or Poplar; lost wheat in tree years of drought,Hard water. People went to town at Wolf Point or Poplar; the French Canadians had their own community. They lost their wheat in three successive years of drought.
[37:00],Coming to Elk River; worked in hotel to get a room to live in; moved to the printing shop,"Decision to come to Elk River. Superintendent Bloom would not let people loaf around town. She went to work in the hotel to get a room to live in, then moved over the printing shop. Japanese in town."
[43:00],Business serving food at the hotel,The land-office business serving food at the hotel when the men struck in the woods (c.1920).
[46:00],IWW's who helped them with harvest; rode freights to work on the harvest; hoboes stealing food from their basement,The IWW's who helped them with harvest in Montana were wonderful; they got barbed wire that the corporation had abandoned for the farm. People rode the freights west from Minnesota to work on the harvest; hoboes might steal food from their basement. At Elk River hoboes asked for food in return for work. IWWs were against the terrible camp conditions.
[57:00],Moonshine sold to lumberjacks,Moonshine sold to lumberjacks. An excursion
[1:00:00],Uncovering a stash of moonshine; town marshal in partnership; the hotel where she worked,Uncovering a stash of moonshine; the town marshal was in partnership. Three crews of men for the job. The hotel where she worked.
[1:10:00],Cleaning up a bootlegging operation at a hotel,Cleaning up a bootlegging operation at a hotel.
[1:22:00],Austrian moonshining in town; husband's work,"Austrian moonshining in town. Charlie Segera, a fine Japanese, gave information about the mill to other Japanese. Husband's work."
[1:30:00],Lumber piles persuaded her to board her home over the printing shop,"Lumber pilers persuaded her to board them at her home over the printing shop. A Swede who wouldn't eat spinach; he was later killed in Seattle. How she was nicknamed ""Ma"" by her boarders."
[1:37:00],Klan member suspected her of misconduct; burning crosses scared people; Klan clothes,"A Klan member paid a visit to her home, suspecting her of misconduct. Burning crosses scared some people. Many were Southerners and related. Klan clothes hanging on the line to dry."
[1:44:00],Social life in Elk River,Social life in Elk River.
[1:46:00],Shutting down the mill; husband refused to move; getting by in the depression,Shutting down the mill. Older Weyerhaeuser's great regret about plan to remove the mill from Elk River. Husband refused to move; closeness of people who remained. How they continued to make a living. Getting by in the depression - a huge haul of food from Juliaetta. Enjoyment of the country. Home.
[1:57:00],Malker Anderson's suicide; Emil Anderson's death,Malker Anderson's suicide. Emil Anderson (his brother) died in a stump blast.
[2:00:00],Malker's strange wife; Malker's son died in an accident at fifteen; made daughter clean the dishes,"Malker's strange wife, Maggie May, was very cruel to her daughter. She helped Mrs. Vine take care of her ailing mother-in-law. Malker's son died in an accident at fifteen, an alcoholic. After her big parties she made her little daughter clean all the dishes."
[2:08:00],Fatal plane crash; recipe for huckleberry ice cream,A fatal plane crash. George Schmaltz's stories about Harry Adams. Recipe for huckleberry ice cream.
