speaker,Start Time,timestamp,words,tags
,,,,
Johanna Bringhurst,[00:00:00:00],[00:00:00:00],"Hello everyone, and welcome to context. This program is brought to you by the Idaho Humanities Council with funding from the National Endowment for the Humanities. The views expressed here today do not necessarily represent those of the agency or the NEA. My name is Johanna Bringhurst, and joining us today is Jim Gentry. Doctor Gentry taught history at the College of Southern Idaho between 1969 and 2010.",
Johanna Bringhurst,[00:00:33:17],[00:00:33:17],"He completed his PhD in history at the University of Utah in 1985. While completing his dissertation, he became inspired to research and write local history. Since 2003. He has completed four local histories In the Middle and on the Edge: The Twin Falls region of Idaho in 2003, Meeting Needs and Developing Opportunities: A history of the College of Southern Idaho in 2015,",
Johanna Bringhurst,[00:01:04:07],[00:01:04:07],"Transformations: A History of First Baptist Church of Twin Falls, Idaho in 2020, and most recently, The 51 Tunnels that Saved Twin Falls: Twin Falls Canal Company's board solution to a big drainage surrounds. These studies demonstrate the resilience of communities during booming or stressful time. Jim, thank you for joining us today. It's so good to have you here.",
Dr. Jim Gentry,[00:01:32:04],[00:01:32:04],Thank you for having me.,
Johanna Bringhurst,[00:01:34:15],[00:01:34:15],"You wrote this last book with Brian Olmstead about 51 little known tunnels under Twin Falls. Can we start by talking about the creation of Twin Falls as a city? The Twin Falls area was a desert that was irrigated by the Milner Dam when it was built in 1905, which brought settlers to the area. Is that right?",
Dr. Jim Gentry,[00:01:59:20],[00:01:59:20],"Yes. In fact, in the building of Twin Falls was really done to attract people to come in for irrigation. The Twin Falls Land and Water Company had been created in, in 1900, to encourage irrigation. They wanted to sell irrigated farmland, but they discovered that the people didn't want to buy any land until they saw that it was going to work.",
Dr. Jim Gentry,[00:02:28:03],[00:02:28:03],"So the decision in 19 four to to construct a city, in essence, before the dam was closed, was to show settlers that there was confidence in the future. And that, the, developers were putting their money where their mouth was, so to speak. And that just made all the difference in the world they had tried earlier and had not been, successful in selling very much land.",
Johanna Bringhurst,[00:02:59:05],[00:02:59:05],"So when, settlers came to the area and started farming within just a few years, a very unexpected problem arose for a desert. What happened?",
Dr. Jim Gentry,[00:03:12:22],[00:03:12:22],"Yeah. Something that no one anticipated. In fact, the Twin Falls, Canal Company, gained occupation of the, of the, irrigated land. And, things were going well. And starting in 1909, the Twin Falls Canal Company took over from the Federal Falls Land and Water Company. And starting in 1909, well, two years later, in 1911, there began to be a small amount of seepage, and that is that water was coming up out of the, out of the land, really kind of like artesian, if you think about artesian water.",
Dr. Jim Gentry,[00:04:00:06],[00:04:00:06],"And, it was coming up. And of course, you can't cultivate wet land. And so, after about 135,000 acres had been developed. There was the, problem with 500 of those acres by 1913, 500 acres or so seeped that they could not be cultivated. So company had a new problem on its hands and worked long and hard to solve it.",
Johanna Bringhurst,[00:04:31:18],[00:04:31:18],So what was actually going on? Why were the fields flooding with this seepage?,
Dr. Jim Gentry,[00:04:38:01],[00:04:38:01],"Well, what had happened is when you think about Twin Falls, it was a very dry area. Very, very little amount of water. And so therefore the water table was very, very low. When the settlers first came in, in fact, the first documented well was not done until 1908. There was just no water there. But all of a sudden, with irrigation, you're dumping enormous amounts of water, into, the farm land.",history;agriculture
Dr. Jim Gentry,[00:05:13:01],[00:05:13:01],"And it has to go somewhere. The assumption was that the water would go down into the soil and then would go out and springs such as occurs on the north side of, the snake River canyon. So things like thousand springs and lakes and, you know, there's a lot Niagara Springs, there are several examples, but the soil and the level rock on the south side would not allow the water to come through.",environment
Dr. Jim Gentry,[00:05:46:02],[00:05:46:02],"And so, you have an issue of where the water is, is going in and there's no place for it to go other than accumulate. I think it is the example of pouring water, into a bowl. Or maybe you could think of a bathroom sink. If you've got the stopper open and the water can go on through, if you close it off, then you're going to have a flooded bathroom floor.",
Dr. Jim Gentry,[00:06:14:19],[00:06:14:19],"So. So they really, the prediction of how this would work, simply, had not been calculated adequately.",
Johanna Bringhurst,[00:06:29:12],[00:06:29:12],"Twin Falls Canal Company was responsible for irrigation in that area, and they were turned to by farmers and the community to solve the drainage problem. How did they try to fix the issue?",
