speaker,timestamp,End Time,words,tags
,,,,
Doug Exton,[00:00:00:00],00:00:26:23,"So thank you, everyone for joining me for today's Connected Conversation, a program conducted by the Idaho Humanities Council. If you're not familiar with our organization, I encourage you to check out our website, Idaho humanities.org. I'd like to remind everyone that they may submit questions using either the Q&A feature or the chat, and with me today is and Stanley from the Stonewall National Monument.",
Doug Exton,[00:00:27:00],00:00:33:19,"It's such an honor to have you with us today, and I'll let you introduce yourself.",
Park Ranger Anne Stanley,[00:00:33:21],00:00:55:08,"Hi, everyone. I'm Ranger Anne and I am a park ranger at Stonewall National Monument, which is part of the National Park Service. I'm going to share my screen.",
Park Ranger Anne Stanley,[00:00:55:10],00:01:11:11,And see.,
Park Ranger Anne Stanley,[00:01:11:13],00:01:16:06,Okay.,
Park Ranger Anne Stanley,[00:01:16:08],00:01:27:10,"See, folks?",
Park Ranger Anne Stanley,[00:01:27:12],00:01:28:19,Can you see it?,
Doug Exton,[00:01:28:21],00:01:31:06,Yeah.,
Park Ranger Anne Stanley,[00:01:31:08],00:01:51:21,"So, I'm Ranger Anne my pronouns are she, her and hers. And I am a park ranger with Stonewall National Monument. I want to thank you for joining me virtually today for this PowerPoint presentation about Stonewall National Monument.",
Park Ranger Anne Stanley,[00:01:51:23],00:02:35:16,"Okay, so the National Park Service, you're probably familiar with the large icon national parks like Grand Canyon and Yellowstone, which are shown here. You're also probably familiar with national monuments, including the Statue of Liberty and, the Washington Monument. So what is the National Park Service? The National Park Service is part of the government that preserves and preserves unimpaired the natural and cultural resources and values of the national park system for the enjoyment, education and inspiration for this and future generations.",environment
Park Ranger Anne Stanley,[00:02:35:18],00:02:56:08,"There are over 400 National Park Service sites in the U.S. and the U.S. territories. And within Manhattan, there are nine sites. One that we'll be talking about today is Stonewall National Monument.",
Park Ranger Anne Stanley,[00:02:56:10],00:03:24:10,"So when you think about Stonewall, you think about a lot of different things. This picture kind of depicts what a lot of people think about, you know, the treatment of LGBTQ people in the United States, specifically here in New York. It was almost illegal to be any part of the gay culture. So I use gay in the historical sense.",
Park Ranger Anne Stanley,[00:03:24:23],00:04:06:18,"So you could be arrested for not wearing the correct clothes that matched your gender identity. You could be arrested for hanging out somewhere. That was known to be a hangout for LGBTQ people. You could be arrested for any de facto, crimes. Just for. It's almost like disturbing the peace. And so when you think of Stonewall National Monument, if you've actually been here, a lot of people think it's just Christopher Park, in the village, but it is actually the footprint of the park, the footprint of the Stonewall Inn and 7.7 acres of the streets and sidewalks where the riots actually spilled out.",
Park Ranger Anne Stanley,[00:04:06:18],00:04:39:10,"And so and so that is shown on the map. So it's a little larger than you would think. So there was no out there was just in we're going to go through a couple of different things about how it was to be LGBTQ. Before Stonewall. A lot of people were really scared about the outcomes of being LGBTQ because not only were you discriminated against, and it was illegal, basically, as I said, to be any part of the gay culture.",
Park Ranger Anne Stanley,[00:04:40:17],00:05:04:09,"When you were arrested for any of those crimes back then, they routinely would print your name and address in the newspapers, making it really hard for you to then keep your job. If your job found out that you have been arrested for any of those, then you would most likely be fired pretty quickly and then it would be hard to get another job.",
Park Ranger Anne Stanley,[00:05:04:10],00:05:39:22,"It would be hard. It would be hard to get a loan. It would be hard to basically do anything. So it's a really big it was a really big struggle to be LGBTQ at, before Stonewall. And so here, this is the American Psychiatric Conference, and this is actually two years after Stonewall. And the person in the mask is a doctor speaking out against the fact that, LGBTQ was considered a mental illness.",education
Park Ranger Anne Stanley,[00:05:39:24],00:05:56:05,"And so this is even after Stonewall. So imagine, what it was like to be before Stonewall. This doctor, was worried about speaking out against that, because of what could happen.",
Park Ranger Anne Stanley,[00:05:56:07],00:06:29:23,"And so. As I said, you know, a lot of people were really scared of being arrested. And even, like, a lot of the photographs that we have of people before Stonewall, in the community who were arrested, you know, you can see that they're hiding their face because there are their name and address is already going to be printed in the newspaper, and they don't want any more recognition than they're already getting.",
