speaker,timestamp,words,tags,terms
,,,,
Gus Gamble,00:00:05,"I think it was Timothy, ... that's where the shooting took place, but they didn't get anybody, but he was just the one man.",,
Sam Schrager,00:00:16,Was this Shorty who was in there?,,
Gus Gamble,00:00:19,"Yeah, this is old Shorty himself. He was a young man.",,
Sam Schrager,00:00:22,"Did he ever talk about Felix Warren, what Felix Warren was like?",,
Gus Gamble,00:00:26,"Oh yeah, he told lots of stories about Felix. Yeah, old Felix was quite a... Quite a... He was a lot of old Felix in general. He was there oh, 50 years ago or so. He was getting pretty old then. But somebody they had that he was making a race from Spokane to Walla Walla and changed horses every so often. He changed in Muscat, in Genesee, I remember. I was happy in town when I was giving a damn about Felix. He was a kind of heavy fat fellow. I remember a beard cut down to chin whiskers. But a great old driver he had. I know this fellow there, put on a team I guess, this side of this side, and he drove to the head of the raid I guess. It must have been about 19... Sometimes after the turn of the century because I know what it was. He wasn't doing anything driving when he came but he just... He came with somebody and he was doing the riding and so on. I saw him there and he would... A great old man for a whip. Yes, he was... I know this fellow had his horses on. He's dead now. But he said that he saw a whip. He crashed. He's a great old man for a whip. This young fellow that was there. Kern, Sim Kern. He was a man of 35 or 40 I guess then. But he's dead now. But anyway he made a few cracks on it. And he said, give me back that whip because I want some whip when I get to Lewiston. And he would crash me into the whip. But yes, I happened to be in town and I'd seen all the people still thinking about it. I wasn't much interested in him. But he had a stagecoach and rolled himself out the lines and so on. But no, I don't remember any of the young...",lcoh places;transportation,genesee;lewiston;spokane;walla walla;stagecoach
Sam Schrager,00:03:53,Was Shorty ever in a... did Shorty ever get tangled up in a bank hold up?,,
Gus Gamble,00:04:02,He couldn't have been. He couldn't have told me that.,,
Sam Schrager,00:04:05,I can't remember. I thought I ran across something about that.,,
Gus Gamble,00:04:11,"I don't remember it either. He's never kind of a... Kind of a man to get the young he met. But I forgot. Oh, he told the Fouls and Shorties. I wasn't much interested in them. But yes, Bob, he was a son. He probably remembers.",,
Sam Schrager,00:04:52,He learned them from you.,,
Gus Gamble,00:04:54,Bob had.,,
Sam Schrager,00:04:55,"He learned them from you. Well, you were telling me about that before about this... Oh, yeah. That's",,
Gus Gamble,00:05:08,"Right. He was down at a... There down with... Right straight down the cross street from Maine. It was on the fifth street where the Raymond Hotel used to be. And this was the fifth street. And it was right straight up the street to the... There was an old depot there and so on. And he was... Yes, he was... He had the rick and horses all wintered in there. I think that's about the... I think it was the time of the Spanish-American War. He was rick and horses. I remember. And the government would buy wild horses and he rick them. And there was two rick and horses there. And he... He had run out of money and stuck around for about another day. And he had a mooch. He was drinking and so on. He was cutting the gym before he went because he always paid. And that was true. He was an honest little boy.",conflict;transportation,war;depot
Gus Gamble,00:06:39,"He would..… he was always in town, but he'd go out and he'd get a steak and send it in. And then he would make another steak and train and get drunk and so on. And then this time he was in there and they got after him to ride another horse. A couple more horses or something. Anyway, he wanted to go on out to his job up in the Quay Mount or something. But anyway, he didn't get that guy out to get to work. Anyway, they said, I'll rick one for you. He jumped on and he set his horse up and jumped on and rolled his horse. And then he went to buy a horse. It had to pull off and it was a windy day and had rolled up the street a ways. Anyway, he kind of circled around and suddenly passed it up to him. He handed him his bike up. There was a $20 bill in the... He was under the headband and it rolled up and the fat man shook him to hear his eyes. So, he just grabbed his hat and pulled it off. He said, boys, I'll ride this horse about the day after tomorrow. And he went down and got drunk.",clothing;lcoh flora & fauna,hat;horse
Sam Schrager,00:08:23,"So, did he break the horse then? He broke the horse first?",lcoh flora & fauna,horse
Gus Gamble,00:08:27,I think so. I think he broke it before he went out.,,
Sam Schrager,00:08:31,"So, somebody gave him $20. Was the guy who he was breaking the horse for gave him the $20?",lcoh flora & fauna,horse
Gus Gamble,00:08:39,"I think I was like, yeah, I think I was the...",,
Sam Schrager,00:08:43,"Oh, thank you, Lola. Thank you.",,
Gus Gamble,00:08:45,"Yeah, you'll have to tell this boy or somebody shorter him or shorter.",,
Sam Schrager,00:08:49,"Lola, he says you know him better than he does. Isn't that funny?",,
Gus Gamble,00:08:53,"Oh, she knows a thousand of them.",,
Sam Schrager,00:08:57,"Oh, I know. But these are stories you know pretty good.",,
Gus Gamble,00:09:02,"Oh, that was always... And anything that was in time, you know, a man couldn't... I can't remember anything at all.",,
Sam Schrager,00:09:18,"Well, listen, I want to ask you about Shorty's brother there. You told me that his brother got lynched in over in Colfax. Now, is it true that they let the bodies hang there overnight, during the day, into the next day? You know what happened?",family,brother
Gus Gamble,00:09:38,"Yes, it's supposed to, although I'm not sure about that. But yes, they came in. They had... Yes, they had... Oh, thank you. They had... This brother, Shorty, he was a big man and had a quarrel some when he was drinking. They lived out here, all up somewheres, beyond Palouse, the ways. And I don't think he had any grudges or nothing there that I don't believe. But anyway, they kept doing fights. This brother and two or three more of their friends, they would give their scrap for a day at a time. And this day, they were just... Night, they were... But I went to fight him. And by gosh, the cop came out to separate him. The cop didn't like him. And he wanted to try to arrest him. And they found his knife there by the... By what they were fighting. And somebody had a knife to the old cop. So somewhere or other, they all scattered. And when they got sober enough, and by the time they had any stuff on him, he decided he'd better not be around there because they were laying for him. So they all scattered for the night. And somebody said the cop had been killed. And the noser found this knife. And they said something that had healed the knife. So he was the man that had knifed the cop. But they didn't... I guess it might have been the one, but they had no proof. And they just put him in for... Yeah, yeah. Then he rode out for the night. He took off and rode there over to the Columbia River over... Oh, the quarter. The quarter. The trail went and he followed the trail. He'd been over lots of times. And he got to the crossing and swam the... He stopped on this side. They were kind of hanging around, and they thought he was down there somewhere. But somebody else found another knife there. They still see knives and they're opened in by the ground there. So anyhow, the next night he stopped on this side of the Columbia. So he didn't think he was gone. So he went and the next night the woman there, he told them he was afraid they were after. He didn't know they'd found more than one knife. And by God, the woman came to a shutdown and there was about three knives there. But nobody was nighed except the cop. But he was afraid that he'd come. He was the only man because he didn't waste any reports. And he just got out of there. And so the next night he swam across the river. This is the earliest frame I made. It was deep and swift. But he had a... He was up with a pack of bills and something was up and some pack of sandals and so on. They were old friends, old sons of each other. So the next night he took a dart he took across the river. He was riding a busking horse and he was a powerful horse. He swam with his head high. He didn't know if he could cross the road. He didn't know if he could. But he did. He said he pulled his head over and snuck it around the saddle horn. He held his head up high. And by God he got across. And then when he got across he was all right. And he went on back and some more country and laborers were watching for him. And lots of them had heard him talking about Montana. So they notified all through Montana. And when nobody heard anything of it. But by God this man had written back to his mother-in-law about six or eight months after he'd been gone. So he wrote back to his mother and he said, whatever happened is that old cop die. What happened? So his mother wrote right away to him. And he said don't write it right because it was some little way, quite a ways from the border area. And he said the same way the other young men killed the one that killed him. It was very, very weird.",crime;family;lcoh flora & fauna;migration,arrest;brother;mother;horse;border
Sam Schrager,00:16:47,"So he died, the cop died.",,
Gus Gamble,00:16:49,"Yes, the cop died. So they didn't, they said, oh, now I see this man. Yes, so by God the cop had written a name, a Japanese name, anyway by God there was a fellow in that country. Where the, I think the cop was, this brother of his was watching them. He didn't know he was dead but he had a dead body. But the mother answered, they wrote to, yes, he sent his name and his name, and back up to the name of the cop. And it was the sheriff there in hell and half of Montana. And he got the letter because this man never went to town for mail. And somebody got it.",family;japanese,brother;mother;japanese
Sam Schrager,00:18:27,Was he in Montana at this time?,,
Gus Gamble,00:18:28,"Yes, he was in Montana. Yes, he had a letter.",,
Sam Schrager,00:18:32,So the cop got the letter instead of him?,,
