speaker,timestamp,Endtime,words,tags
,,,,
Angela Luckey,[00:00:03:06],00;00;53;10,"The following is an interview with Mrs. Juanita Zazueta Huerta by Angela Luckey. The interview took place in Mrs. Wertz home, 1135 East Fremont. Pocatello, Idaho, on March 9th, 1991. This is part of the Idaho Hispanic Oral History Project. Okay. Can you tell me when your parents when your family first came to this country. ",pocatello;idaho;family
Mrs. Juanita Zazueta Huerta,[00:00:30:13],00;01;03;15,"In the spring of 1918, about in April, may they come. And she did work in agriculture.",agriculture
Angela Luckey,[00:00:40:18],00;01;05;10,So they were how did they come?,
Mrs. Juanita Zazueta Huerta,[00:00:42:10],00;01;13;10,"In a train? They came on the train with a lot of other family, Mexican family who were bringing at that time.",family;mexico
Angela Luckey,[00:00:50:12],00;01;15;04,Did somebody go down to get.,
Mrs. Juanita Zazueta Huerta,[00:00:52:08],00;01;41;02,"They must have imagined that somebody would be there to bring. These people are married. Because, like, I believe it was the war time and they would bring it to different places. And they brought these people with but ones that come with my parents, they brought them to Lincoln, Idaho, near Idaho Falls, to the sugar factory. There you loom houses where they would house them for the Mexicans.",conflict;idaho;labor
Mrs. Juanita Zazueta Huerta,[00:01:18:02],00;02;10;21,"They would bring them. That's that. That was a that was a place they would bring them. And from there they would send them like to to Shelley and to different to. I can't really tell you, but there's little agriculture towns around Idaho Falls and around Ferd and Shirley. There's Goshen, there's Presto, Basalt... So those are the little places of the names of the little towns of that.",agriculture;idaho
Mrs. Juanita Zazueta Huerta,[00:01:47:24],00;02;25;20,"There were farmers then. These towns were planted in these little places where the printed sugar beets and potatoes, and that's where they would house the farmers. I would imagine coming, taking the ones they needed, so many families that they needed.",
Angela Luckey,[00:02:02:22],00;02;32;07,"So they were housed in, in that one place. And then every day they would go out and come back.",
Mrs. Juanita Zazueta Huerta,[00:02:09:07],00;02;49;22,"They'd take them and keep them there. If, say, that if it was in this, it was in the spring, they would need them to work in the fields and the potato in the beet fields, like for thinning and growing. And so the farmers would just probably take the families that they needed to work.",agriculture
Angela Luckey,[00:02:26:29],00;02;51;09,Did everybody work?,
Mrs. Juanita Zazueta Huerta,[00:02:28:12],00;02;56;03,"Yes, they came from work. I mean, the men folks were the men folks.",
Angela Luckey,[00:02:33:06],00;02;57;19,But that not the women.,
Mrs. Juanita Zazueta Huerta,[00:02:34:24],00;03;05;12,"No, not the women at that time. Not the women, not. I never did hear my mother say that the women would just their man work.",family
Angela Luckey,[00:02:42:19],00;03;07;09,But they brought the women with them.,
Mrs. Juanita Zazueta Huerta,[00:02:44:13],00;03;14;10,"Yes, they brought the families. They were families with children. And same family with children.",family
Angela Luckey,[00:02:51:12],00;03;17;03,So did your parents become citizens then?,
Mrs. Juanita Zazueta Huerta,[00:02:54:05],00;03;43;23,No. My parents never did become citizens. They never really learned to speak English. And I guess they just I don't ever remember the term that they ever spoke about making themselves citizens. They just. My father worked on the railroad and he learned enough English to get by. But I never I never did hear the members say or nobody whatever ask them you know.,family;railroads and transportation
Mrs. Juanita Zazueta Huerta,[00:03:20:23],00;04;13;09,"So they just, they just worked and lived, you know, and they had their children and of course at that time. But then, then they had to be have birth certificates. The children and my brothers and sisters and myself were all born here, and we've all got our birth certificates that we were born here, you know, but, you know, they didn't become citizens.",
Angela Luckey,[00:03:50:11],00;04;23;13,"So they came here for their jobs. Yes. Did your father talk about, doing his job? What kind of tools? He used?",family
Mrs. Juanita Zazueta Huerta,[00:04:00:19],00;04;55;21,"Well, he was a section hand. And this man. See, and put spikes in. I remember that he put railroad in, and I guess they just kind of. Whatever section hands do. I remember that they add a little cart and he'd go to the tool house or whatever. We lived in the section house, and that place where the workers would meet wasn't too far from our house, and they had all meet there in the morning and go out on this little I.",railroads and transportation
Mrs. Juanita Zazueta Huerta,[00:04:32:24],00;05;10;28,"And I'm sure it had a name. Yes, but and then in the evening you'd come home. And I don't never remember that he really discussed what whatever section I to do, I guess I do. I don't really know. Okay.",
Angela Luckey,[00:04:48:00],00;05;13;22,"Did your mother, what did she do all day?",family
Mrs. Juanita Zazueta Huerta,[00:04:50:25],00;05;46;04,"No. My mother just took care of us. And then in the summer, she would take us. I remember as kids growing up, and there was people around there that had, strawberry patches and raspberries and stuff, and. And to tell you the truth, I really don't know how with her why she when we, she used to take us to pick raspberries and then we'll just there wasn't big patches, but I remember unshared and my mother would get us to pick raspberries.",family;health
Mrs. Juanita Zazueta Huerta,[00:05:23:04],00;06;09;09,And I remember that I forget so much for the lady of the people of the little patch of raspberries. And and so much was for us. And then my mother would. What can this fruit I remember? Somebody must have showed her. I don't remember that. But she used to put this fruit up whenever we would pick. And they gave her.,family
Mrs. Juanita Zazueta Huerta,[00:05:46:11],00;06;27;23,"I know that she wasn't for wages. I don't remember that gave her any money. And it was just like food. She we would just pick the fruit or whatever. And then they would give her so much and then she'd take us home, whatever it was, and she would always tell us. So we had to learn how to work that.",
Mrs. Juanita Zazueta Huerta,[00:06:04:23],00;06;49;01,"That's the way you go about, you know, maybe we complain, I don't know, maybe we go, what are we doing this work? But I remember she used to say that we were we'd like to play all summer when there wasn't any school, but she would put up, take some fixed, I guess, a bunch of tortillas or maybe whatever, and and take us to these places.",education
Mrs. Juanita Zazueta Huerta,[00:06:26:02],00;07;14;22,"I remember there was this real nice lady. She was a sweet lady, Mrs. Cedarburg. And then they had, she had plums and apples and raspberries, strawberries. And we used to go over there and pick all the stuff, and we'd climb the trees for apples and plums and, and I remember we used to take some home. American. You know, my favorite share with or whatever, you know, whatever.",
Angela Luckey,[00:06:51:24],00;07;15;19,Where was this.,
Mrs. Juanita Zazueta Huerta,[00:06:52:19],00;07;46;20,"In Firth, in Firth. And. Mrs. CW, we were right across the river. I remember very well the snake River. Now I just wonder. I have never gone back, but my brother has gone back. And he says that how it seemed so far away when we were growing up. But he says now, and that it just right there, you know, now things don't seem that far away, you know, and the places that seem so big to us than are not really all that big, you know.",family
Angela Luckey,[00:07:23:23],00;07;50;08,"So when your family came on them and gone, you, they came straight to Idaho.",family;idaho
Mrs. Juanita Zazueta Huerta,[00:07:27:09],00;07;54;20,"Yeah. Straight to Lincoln, Idaho, near Idaho Falls.",idaho
Angela Luckey,[00:07:31:23],00;07;58;27,"What was it like in Idaho? I mean, can you describe your first memories?",idaho
Mrs. Juanita Zazueta Huerta,[00:07:35:29],00;08;32;19,"Yes. Well, there was mostly farming, like, say, Idaho Falls. They ... and all of that wasn't there. And then, first is only, I think 30 miles from Idaho Falls. It's not really a whole lot for schools. And that was where we'd go mostly was styrofoam and wheat. And then really, my mother and dad had friends in Idaho Falls and we'd go, like, whenever there was a circus or something in town, we'd go and stay with these friends.",agriculture;idaho;food and drink;family
Mrs. Juanita Zazueta Huerta,[00:08:09:19],00;08;54;14,"And from there we would go like on the 4th of July. And that's what we're like closest. And then when we, when we really wanted to see a lot of Mexicans and that I remember we'd come here to Pocatello and we'd come on the train because, like, you worked on the railroad, he had a pass, and we could come here to Pocatello.",pocatello;railroads and transportation
Mrs. Juanita Zazueta Huerta,[00:08:31:17],00;09;13;23,"And then that time there was a lot of Mexicans here in Pocatello. So you got to come to the railroad and then. And if we wanted to do that, like you say, socialize, I guess this is where we would come. And like when my father was sick in the hospital, they'd bring them here to the old General Hospital over there.",pocatello;railroads and transportation;family;health
Mrs. Juanita Zazueta Huerta,[00:08:50:27],00;09;48;21,"The you. So they used to rely on them actually, because he went to Mexico. But my mother never did go back. But my, my dad did even in 1926 to. And then by then the relatives lived in Torreon. So that's where he went and met, you know, some relatives in Babylon. But my mother never but always, remember somewhere, always that they would always talk about their country.",mexico;family
Mrs. Juanita Zazueta Huerta,[00:09:25:21],00;10;12;19,"They never did reminisce over and over and over and, and I remember, like I say, when read TV and radio and all that stuff, and those kids never got bored with the stories that they would tell us. They repeated them over and over again. My mother was raised and had asked her. Her family was like her mother and dad.",technology;family
Mrs. Juanita Zazueta Huerta,[00:09:49:21],00;10;45;10,"They too, they were poor people, but they took care of the cabin for a rich man and they would take in the summer. They would take the cabins up to the mountains, I guess. I don't know where they took their cows, but my mother used to say about how they would climb up in the mountains and they would sit down, I guess some some kind of a high place they could see down in the distance, and I could kind of visualize because they in the distance, they could see the smoke of the trains that would go by far away.",health;environment;family
