speaker,timestamp,words,spanish,tags
,,,,
Angela Luckey,[00:00:00:00],"The following is an interview with Mr. Thomas Murillo by Angela Luckey. The interview took place in Mr. Mario's home, seven Willow Wood Avenue, Pocatello, Idaho on May 13th, 1991. This interview is part of the Idaho Hispanic Oral History Project, so we can talk a little bit.","A continuación, una entrevista con el Sr. Thomas Murillo realizada por Angela Luckey. La entrevista tuvo lugar en la casa del Sr. Mario, ubicada en la avenida Willow Wood 7, Pocatello, Idaho, el 13 de mayo de 1991. Esta entrevista forma parte del Proyecto de Historia Oral Hispana de Idaho, así que podemos conversar un poco.",pocatello;idaho
Angela Luckey,[00:00:30:00],Okay. All right. do you know why your family came to this country.,Está bien. Está bien. ¿Sabes por qué vino tu familia a este país?,family
Thomas Murillo,[00:00:35:19],"In 1917 or 1918? But I can't remember. I should have gotten in touch with my sister, but she as far as I know, she's still in California. And,","¿En 1917 o 1918? ¿Que yo recuerde? Debería haberme puesto en contacto con mi hermana, pero, que yo sepa, sigue en California. Y...",family
Thomas Murillo,[00:00:50:13],That's as close as I can come.,Eso es lo más cerca que puedo llegar.,
Angela Luckey,[00:00:52:08],And how did they come?,¿Y cómo llegaron?,
Thomas Murillo,[00:00:54:01],"They came by, they started by a wagon pulled by mules and horses. I don't know which, open wagon. As I understand it, they went from Manolo to San Francisco del Rincon. They, took the train there. San Francisco, to Juarez and cross over to El Paso on foot. And, from there they, were loaded on to a train.","Llegaron, empezaron en una carreta tirada por mulas y caballos. No sé cuál, una carreta abierta. Según tengo entendido, fueron de Manolo a San Francisco del Rincón. Tomaron el tren allí. De San Francisco a Juárez y cruzaron a El Paso a pie. Y de allí los subieron a un tren.",
Thomas Murillo,[00:01:41:26],"that was there. By, Richmond a few times, looking for workers to work in their fields up. And I'd also like, were hired there, loaded on the train. Claimed to but by train. That's the of travel to use.","Eso estaba allí. Por Richmond, varias veces, buscando trabajadores para sus campos. Y también me gustaría que me contrataran allí, que me subieran al tren. Afirmaban que sí, pero en tren. Esa es la forma de viajar.",
Angela Luckey,[00:02:06:03],Do you know which train it was?,¿Sabes qué tren era?,
Thomas Murillo,[00:02:08:08],"No, I have no idea. I'm sure there was a change of train somewhere. Because the rail personnel, I don't know, it's, maybe the Santa Fe and the Southern Pacific and they come up into this country. Must have come through, Denver and then, change trains. Come in. Was come here by the Pacific from Denver.","No, no tengo ni idea. Estoy seguro de que hubo un cambio de tren en alguna parte. Porque el personal ferroviario, no sé, quizás el Santa Fe y el Southern Pacific, vienen a este país. Debieron pasar por Denver y luego cambiar de tren. Llegaron. Vinieron aquí en el Pacific desde Denver.",
