speaker,timestamp,End Time,words,tags
Ángela Luckey,[00:00:02:70],[00:00:53:89],"This is an interview with Victoria Archuleta Sierra by Ángela Luckey for the oral history project of the Idaho Commission on Hispanic Affairs.  The interview took place on January 10, 1991 in Mrs.  Cierra's home, 317 South 3rd Pocatello, Idaho.  Mrs.  Cierra talks about her family and their experiences as they began living in Idaho.  Do you know when your family came to this country?",idaho;pocatello;family
Victoria Archuleta Sierra,[00:00:54:57],[00:01:33:29],"Well, my family already lived here in the States.  My father was born in a little town called Chaparito in the state of New Mexico.  And my mother was born in a little town named Higby in the state of Colorado. And as far as I know, their people were born in the States. So I don't really know anything more about where they came from to here, except they were already there in New Mexico and Colorado.",family;mexico
Ángela Luckey,[00:01:34:00],[00:01:37:09],Do you know about your grandparents? ,
Victoria Archuleta Sierra,[00:01:37:09],[00:02:34:03],"No, they, I think that my great-great-grandmother on my mother's side was Indian, American Indian. But I don't really know what tribe or I don't know anything about her. My mother's mother died when she was six years old, when my mother was six years old. And then so they lost track of everything.  They never, she had to go live in a cattle ranch with her dad.  So they lost track of everything. Nobody had ever explained anything to them.  And my dad, well, his parents died when he was six years old also. So he never had any family history of any kind, except that they were all born in New",family;indigenous;agriculture
Ángela Luckey,[00:02:35:30],[00:02:38:81],So how did your family then come to Idaho?,family;idaho
Victoria Archuleta Sierra,[00:02:41:21],[00:03:47:31],"Well my dad traveled a lot in his young days and then he finally settled down in La Junta, Colorado, and that is where he met my mother. My dad's niece married my mother's brother and that's how they came to know each other.  And so they married and started having a family.  I have an older brother that was born in New Mexico, because they traveled back.  And then I was born in La Junta six years later.  And then we moved to Grand Junction, Colorado, where he was working as a ranch man. He milked cows for this man. And we lived there until I was about six years old, six or seven years old.",family;mexico;agriculture
Victoria Archuleta Sierra,[00:03:47:31],[00:04:22:75],"And then we moved into Grand Junction, the town of Grand Junction.  So from there, my dad was a field worker because he had no transportation of any kind there for a while until he bought himself a little Model T car. And then we used to, they used to take us kids to pick green beans. It was quite far out of town.",labor;food and drink
Victoria Archuleta Sierra,[00:04:23:68],[00:05:55:75],"So my brother and I took care of my tiny little brother that was born in 1930.  And we stayed in the car all day long waiting for them.  They would come to eat lunch and we'd see them for a little while.  And then they'd go back and pick more green beans until the late evening.  Many a time the car wouldn't start, and so we had to be there until it was dark.  So we had a few times of panic when the car wouldn't start.  And it was getting dark and everybody left except us.  So it was kind of, there's happy memories now.  At that time it was just kind of, I would say, oh, there was lots of sad things that would happen at that time.  And I can remember when we'd eat lunch my mother would boil potatoes and corn on the cob and boiled eggs.  That was fun to eat lunch at that far out.  It was kind of like a picnic every day. We had fun then. And we really had lots of good times.",family;health;food and drink;recreation
Victoria Archuleta Sierra,[00:05:56:50],[00:06:46:95],"I think about it now and it seems kind of sad that we grew up like that, but it didn't damage us any. It was just a lot of fun at that time. But we had no other means of a livelihood except my dad working out in the fields, my mother.  And I learned to cook when I was ten years old because sometimes I had to stay home and take care of my two brothers while they went out. My mother and dad went out and worked in the fields. And that wasn't very easy and I wasn't too crazy about it.  My dad taught me how to make tortillas and the beans were already cooked from the day before. So all I had to do was make the tortillas for when my mother and dad would come home.",recreation;economy;family;health;food and drink
Ángela Luckey,[00:06:54:10],[00:07:01:43],"It was a lot of burnt ones.  Did you make the tortillas with flour or corn?  Yeah, flour tortillas.",food and drink
Victoria Archuleta Sierra,[00:07:01:43],[00:08:57:27],"Being from New Mexico, I guess my dad wasn't too crazy about corn.  They ate atole, which is corn with milk.  And my mother didn't especially care to cook Mexican things, so she did a lot of, oh, we ate a lot of macaroni and stuff like that that wasn't Mexican.  But she liked to, she grew up on this farm, on this cattle ranch where you didn't eat a lot of Mexican food, you know.  The cooks learned how to cook, oh, they cooked biscuits and gravies and stuff like that.  Puddings, my mother being a teenager at that time tried to learn how to cook all that.  And she was better at cooking things like that than Mexican food.  So we didn't eat much of that until we came to Idaho.  And we came to Idaho in 1942 after we had been to Nyssa, Oregon.  We came from Grand Junction to Nyssa, Oregon in what is called a Renganche, where they send out kind of scouts and ask if the people want to come and work in the farm work.  And they pay your way.  So my dad really thought that was a neat opportunity.  So we went to Oregon, we went to Nyssa, and my brothers and my dad and some friends that came with us, they worked.  And so my mother and I didn't have to work in the field at that time.",mexico;food and drink;family;health;agriculture;idaho
Victoria Archuleta Sierra,[00:08:57:53],[00:09:15:46],"And we had a little sister, so my little brother enjoyed working with them, but he didn't have to work all the time. Anyway, that I mostly helped my mother. We lived in this, it was kind of a half of a house that the farmer provided us with.  And there was some little other little buildings where the boys slept.",family
Ángela Luckey,[00:09:41:68],[00:09:42:87],Separate from the house?,
Victoria Archuleta Sierra,[00:09:42:98],[00:10:26:46],"Yeah, separate from the house.  And we went to the store about once a month, I guess, when the landlord and his wife went to the stores.  And we went with them and bought our groceries. And we didn't have any refrigerator or anything, so we had to buy things that didn't have any chance of spoiling.  So we ate a lot of canned meats and a lot of potatoes, and of course we had a huge garden at that time, so it was nice. But the weather was beautiful over there.",family;technology;agriculture
Victoria Archuleta Sierra,[00:10:26:46],[00:12:21:34],"And then my dad had been in Pocatello, Idaho, when he was a young man.  And there was only the railroad station, and the rest was really not much of anything.  The Indian Reservation was where it is now, I think, or Fort Hall, because he remembers seeing Indians and even talked to some while he was waiting for his freight train so he could hop it and go back to New Mexico. He liked the weather, and he liked the way the people treated them, because in Colorado there was quite a lot of prejudice.  And so we grew up kind of, I grew up kind of timid anyway because of that. But my dad always remembered that when he was here that one time, the people really treated him well.  And then of course this town was just booming with people at that time, with the war and the airfield out here, and it was just lots of people.  And anyway that we came here, my dad and my brothers came first, and they all got jobs on the railroad.  And then my mother and my little sister and my little brother, we got here about the day after Thanksgiving in 1942.",pocatello;idaho;railroads and transportation;indigenous;mexico;conflict;family
Victoria Archuleta Sierra,[00:12:22:41],[00:12:57:70],"And the people here were so nice, the Huertas, the Sazuera, the Gonzalez, that really treated us nice, took us under their wing and helped us to get settled. And they were all people from Mexico that had come from Mexico. But we just got along really beautifully, and there didn't seem to be any prejudice with the white people. The Indians came and went, and I was really surprised to see that they wore moccasins, and they wore their babies in their back on a blanket, the ladies.  The men all had long braids.",mexico
Victoria Archuleta Sierra,[00:13:11:63],[00:13:47:48],"They'd tuck them inside their shirts.  And they spoke a lot of Indian at the time, Indian language.  And it was really something for us to see because we had never been around Indians like that.  Anyway, we settled down, and about a year or two later, my brother married a girl that was half Indian and half Irish. And so my dad decided that we would just stay here. He had planned for us to go back to New Mexico as soon as the war was over, and he had gathered up enough money, and he even bought a place in New Mexico.  But when my brother got married, he decided that we didn't need to go clear down there anymore.  We'd just stay here in Pocatello.",family;ireland;mexico;conflict;pocatello
Ángela Luckey,[00:14:08:29],[00:14:11:41],Was that José Miguel?  No.,
Victoria Archuleta Sierra,[00:14:12:46],[00:14:50:46],"My brother, José Luis, married here at that time.  And then my brother had gone into the service and came back in 1946, 1947.  So that's why they decided to just stay here.  And we had met lots of nice people and made friends, so we just didn't feel like we wanted to move anywhere anymore.",family
Ángela Luckey,[00:14:41:64],[00:14:50:46],Excuse me.  Go ahead.  How did your family do all the traveling when you came from Colorado and Oregon?,family
Victoria Archuleta Sierra,[00:14:50:96],[00:15:13:29],"Well, when we went to Oregon from Grand Junction, Colorado, the farmer that my dad went to work for paid our way.  That was a Rengancia. They pay your way to go to wherever you're going to work for these people.  So that's how we got there. They paid our way. We traveled by bus, the trail way bus.",
Victoria Archuleta Sierra,[00:15:14:62],[00:16:06:87],"And it was kind of slow, but we finally got there.  And then when we came to Idaho from Mesa, Oregon, we came to the trains. The trains were just noted at that time.  It was really hard to get a seat.  It was really crowded with lots of people.  And when we decided to stay here, so being that Pocatella wasn't extremely large, we walked everywhere we went. And there was lots of taxis. I don't remember a bus at that time. There could have been.",idaho
Victoria Archuleta Sierra,[00:16:08:41],[00:17:54:51],"But pretty soon, my brother came back from the service, and my second brother was married and settled down.  And, well, I went to the service, too, in 1945.  I enlisted in the WAX and took training for hospital aid.  They called us medical technicians.  So we did the cleanup work, and we gave some shots, and we weren't allowed to give pills.  Only the head nurse did that. And I took my basic training in Fort Des Moines, Iowa. That was really something my girlfriend and I enlisted from here.  And then from Fort Des Moines, Iowa, we spent six weeks in Fort Sam Houston, Texas, learning to be medics.  And once we were there and graduated from our training, myself and five other girls were sent to Hamilton Air Force Base in San Francisco, California.  I was in only eighteen months the war was over by then, and they were replacing us with young men that were coming in on the draft.  So I was kind of happy to come home.",family;labor;health;education;conflict
Ángela Luckey,[00:17:56:25],[00:17:58:68],How did your parents feel when you enlisted?,
Victoria Archuleta Sierra,[00:18:00:72],[00:19:18:42],"Well, I think that they were not real, real happy because none of us had ever been too far away from home. My oldest brother did a lot of traveling, too, before he went into the service. But I think that me being the only girl at that time, well, my little sister, but I was grown up.  And I think they kind of worried a little bit, especially because the women that entered into the service weren't too popular for the very simple reason.  The men didn't like it because they said, women's place is in the home. They don't need to be in the Army. And the people around here, of course, weren't used to things like that happening, and there were only two of us in the Mexican community that went. There were others, quite a few others.  But as far as the Mexican community, we were slightly frowned on, I think. But we came back, and they accepted us all right.",family;mexico
Victoria Archuleta Sierra,[00:19:20:03],[00:20:32:25],"And my parents were kind of glad that we had different experiences and learned how to get along with other people other than just here.  And I liked it myself.  When I came back, I enrolled in the, at that time, we had a Ricks, no, Links School of Business.  And I attended that for a year and went to work as a waitress.  I worked as a waitress for the railroad, Beanery, what they called it.  It was a nice restaurant that was right there at the railroad depot.  And I really enjoyed it because there were so many people coming back and forth in the trains.  I worked midnight shift at one time, and really, really liked it. When the place was full of people, I enjoyed it more. But it was fun.",education;railroads and transportation;recreation
Ángela Luckey,[00:20:34:48],[00:20:40:83],Where did you go shopping for groceries or clothes or whatever?  Here in town?,clothing
Victoria Archuleta Sierra,[00:20:42:25],[00:21:18:42],"There used to be a store.  It was home owned by these people. And they were white people.  I can't remember their names. But we used to trade there all the time. My dad and the man got along pretty good, I guess.  I don't know how come they knew each other. But we went there. And we used to trade a lot with credit at the time since the railroad only got paid twice a month, I think. And we used to shop there quite a lot.",railroads and transportation
Ángela Luckey,[00:21:21:07],[00:21:25:00],So did your dad work for the railroad then by this time?  Yes.,railroads and transportation
Victoria Archuleta Sierra,[00:21:25:11],[00:22:17:96],"When they first came from Oregon, he got a job right away in the roundhouse, what they called a roundhouse. And my brothers worked in different places in the railroad. I worked in the railroad too for a while before I went into the service.  I worked in a place called the scrap docks. We used to pick up pieces of metal that were for the railroad cars, pick them up from one pile and put them in another pile, the good ones. The bad ones we put on another pile.  So it was kind of fun. We worked outside and it was in the summer. We had fun.  My girlfriend and I worked there.",railroads and transportation;recreation;family
Victoria Archuleta Sierra,[00:22:20:01],[00:23:24:13],"And there was a little store on 4th Street run by Bill and Annie Angelos.  And that was the teenage spot where everybody came together.  We drank more Coke and ate more chocolate cupcakes than anybody else, I think. We'd get through working in the railroad. We'd run and take a bath and get cleaned up and come to the store to see who was there. And almost everybody was there all the time, the Morelos, the Diaz, and Joe and Dolores Diaz.  John was in the service at the time, I think. And all the other kids that were around, I can't even remember their names anymore.  And then when the Braceros had come into town, well, most of them worked for the railroad too.  And rather than in the fields, that's really funny, they needed them mostly for the ice plant.",food and drink;railroads and transportation
Victoria Archuleta Sierra,[00:23:25:44],[00:24:07:46],"So that's where they worked a lot.  So they were all young kids too, you know, in their 18's, 20's, 25's.  That's where I met Ernie Flores and Arnaud Foil-Varez and several others, but they're the only two that I know stayed. And we all had lots of fun. Everybody was at the stores just like the corner drug store in other towns. And that's where we talked and giggled and laughed. And then from there sometimes we'd all go to a movie. And it was a lot of fun.",recreation;art
Victoria Archuleta Sierra,[00:24:07:70],[00:24:52:51],"And down the street there was another little store run by a little Greek couple, a little man named Goth and his wife. They were always trying to teach me the Greek alphabet and how to speak Greek. And their little store was really going downhill. But they were so sweet and I don't know, I guess they died, I didn't really hear any more about them.  I don't even know if they had people here or not. But they were really sweet. And they were real, real Greek, you know what I mean? They didn't speak much English at all.  And it was kind of fun to listen to them.",greece;family;recreation
Victoria Archuleta Sierra,[00:24:55:00],[00:25:37:27],"And then later on, of course, the bigger stores, there was the big store called The People's Market. And it was, I guess it was the next forerunner of the supermarket. Because everybody went there.  Of course there was a safe way and I can't remember what other store there was.  There were several others, but that's where we traded the most.  It was also a home-owned store.",
Ángela Luckey,[00:25:42:63],[00:25:46:20],You said the Mexicans were treated really well here.  Yes.,
Victoria Archuleta Sierra,[00:25:47:72],[00:26:49:24],"If there was any prejudice, it wasn't out like it used to be where I came from, from Grand Junction.  In Grand Junction they even had signs up on the windows, no Mexican trade. And it was really something, you know? When we came here, that's the first thing we noticed. They didn't have signs up on the windows in the restaurants, no Mexican trade in the hotels like they did over there. And that's why my dad liked it better here. He said people were treated better here.  The Indians didn't seem to be prejudiced against, you know, that the people had any prejudice against them.  They walked all over in town, like I said, their babies in their backs, on their backs.  And they congregated in the different corners and nobody said anything. They were always there. And that's the reason why my dad liked it here so well.",mexico
Victoria Archuleta Sierra,[00:26:56:51],[00:28:23:69],"Nobody was discriminated against going to find a job at that time.  While in Colorado, the only job that the Mexicans could have would be on the, what they call the extra gangs, fixing the railroad tracks. And the Italians worked like the jobs that my dad and my brothers had here, what they called hustlers and wipers. I can't remember what they were, what they were called. Anyway, they took care of the engines when they came in. They cleaned them inside and out, washed them, and helped in that turntable in the roundhouse to turn the cars around and the engines.  And those jobs here were all held by mostly Mexicans. And while in Grand Junction, a Mexican couldn't get a job like that. In the Coleshoot and all those other places, mostly the Italians worked in those places.  And there was, like I said, lots of prejudice.  And the Mexican people from here didn't like the Mexican people from Mexico. The Mexican people from Mexico didn't like the people from here.  And actually the ones that got the jobs on the railroad gang were the Mexicans from the other side because they only used to pay a quarter an hour as far as wages.  And so the Mexicans from this side said absolutely not.",crime;railroads and transportation;health;technology;mexico
Victoria Archuleta Sierra,[00:28:45:28],[00:29:42:82],"They wouldn't work there if that's all they were going to get.  So that's why mostly the Mexicans from here, we were called manitos because we were mostly from Colorado and New Mexico.  And that's where they worked mostly in the fields.  Picking peaches, topping onions, picking green beans, topping beets, thinning beets, and picking apples. Things like that. If a Mexican was lucky enough to be employed by the same employer all the time, that would really be great.  I remember my dad walking 11 miles to pick peaches.  And like I said, we really were real poor at the time. We had no transportation. And so when this chance came along to going to Oregon, my dad really liked that.  So that way we got out of town, better jobs, well better wages anyway.  So that's why we came.",mexico;food and drink;labor;recreation
Ángela Luckey,[00:30:06:28],[00:30:07:71],Did you attend school here?,education
Victoria Archuleta Sierra,[00:30:07:71],[00:31:37:89],"Well, only when we first came here, I was only 18 in 1943.  And so I went to ISU and took a course in electricity because I wanted to be an electrician's helper.  See, they had the gun plant out here, and they used a lot of electricians and lots of electrician's helpers.  I only knew very few people that worked there.  So I took the course, it was six weeks I think, during the winter. I used to walk up there. My dad would walk me halfway up to the park, and then from there I'd have to walk by myself up the hill to the Votec. He'd walk you to Caldwell Park? No, not the park, well the ISU part, the ISU grounds.  And then from there it would be getting lighter. So he'd just leave me there and I'd walk all the way up the hill to the Votec. There were only the three big buildings for the Votec.  And there were lots of women taking courses as the electrician's helper in electricity and welding and having to do with radio, electronics, I guess it was.",recreation;idaho;manufacturing;technology
Ángela Luckey,[00:30:58:04],[00:30:59:71],He'd walk you to Caldwell Park?,idaho;recreation
